#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
           -1.9      1718.2521      5.2445765      1414.4802       4.311314       2131.398      6.5732457
           -1.8      2018.4693      5.9173691      1666.0659      4.8586682      2495.9957      7.4295867
           -1.7      2400.4152        6.22049      1986.5266       5.145517      2959.0695      7.7361361
           -1.6      2828.1339       6.731312      2345.4848      5.5763016      3477.5819      8.3451547
           -1.5      3342.5494      7.2758696      2779.4144      6.0480433      4097.1208      8.9877666
           -1.4      3965.9009      7.9680246       3303.658      6.6302179      4850.6106      9.8372177
           -1.3      4695.3318      8.5951629      3919.5779      7.1730272      5727.8652      10.574731
           -1.2      5537.5333      9.3094383      4629.7822       7.805829      6742.4691      11.581532
           -1.1      6533.5393      10.180951      5468.9414      8.5238671      7943.7695      12.533138
             -1      7671.1908      10.919915      6430.1613      9.1779492      9310.7279      13.437921
           -0.9      8933.9082      11.890634      7495.8605      9.9657601      10830.204      14.591318
           -0.8      10427.222      12.660065      8755.9285      10.631525      12627.688       15.46287
           -0.7       11990.39      13.563858       10076.62      11.396471      14506.014      16.542205
           -0.6       13755.19      14.467227       11568.25      12.180741      16625.567      17.688215
           -0.5      15649.717      15.373636      13171.397      12.946774      18897.828      18.738105
           -0.4      17636.118      16.371792      14853.013      13.784463      21278.874      19.924676
           -0.3      19677.808      17.179509      16586.163      14.480367      23717.479      20.899882
           -0.2      21569.829      18.005575      18198.775      15.211772      25965.794      21.982885
           -0.1      22975.971      18.561441      19403.266      15.673657      27626.647      22.593896
              0      23015.508      18.499038      19436.075      15.640574      27675.624      22.518947
            0.1      21573.076      18.003951      18203.097      15.194419      25967.056      21.922028
            0.2      19670.711      17.182968      16581.749       14.48875      23706.152      20.886061
            0.3      17659.008      16.353963      14872.232      13.773743      21306.435      19.902263
            0.4      15653.776      15.415857      13175.183      12.974469      18901.868      18.776823
            0.5      13745.601      14.610332      11561.129      12.279459      16612.287      17.841301
            0.6      12021.725      13.574713      10102.778      11.410807      14544.253      16.579965
            0.7      10411.655       12.66258      8744.3799      10.633761      12605.962      15.489582
            0.8      8950.2607      11.819516      7510.1928      9.8944659      10848.967      14.557128
            0.9      7646.8445      10.890969      6408.9682      9.1279443      9282.6305      13.331548
              1      6538.2088      10.112393      5473.9324       8.465025      7947.5663      12.398621
            1.1      5529.3727       9.296808      4622.5423       7.776142      6733.2767      11.420987
            1.2      4697.4138      8.6168987       3921.223      7.1883707      5730.6075      10.602349
            1.3      3961.1043      7.9087553      3301.2469      6.6089029      4841.8446      9.8037436
            1.4      3349.2197      7.3036643      2784.7367      6.0672758      4105.6365      9.0326297
            1.5      2825.8834      6.7145745      2344.3687      5.5686978      3473.5014      8.3237856
            1.6      2389.1279      6.1658689      1977.4311      5.1024256      2944.8011      7.6633549
            1.7      2019.3618      5.6560098      1667.1926      4.6692233      2496.4333      7.0417508
            1.8      1719.8968      5.2574155      1415.5262      4.3255971      2134.0784      6.5670995
            1.9      1459.6595      4.8364927      1197.9781      3.9685509      1817.0599      6.0615499
              2      1246.6662      4.4580356      1020.6058       3.649073      1556.3741      5.6026978
            2.1      1072.5912      4.1634201      875.72868      3.3980903      1343.1818      5.2504859
            2.2      925.00962      3.8374563      752.69253      3.1226999      1162.8175      4.8537362
            2.3      807.00542       3.831362      654.68144      3.0970838      1017.9193      4.8776129
            2.4      688.75613      3.4101528      557.23635      2.7524483      871.41885      4.3476334
            2.5      606.74938      3.1166537      489.62167      2.5150784      769.82526      3.9768445
            2.6      526.37106      2.9249295      423.57062      2.3541313       669.8931      3.7396348
            2.7      462.32311      2.7089752      371.43079      2.1777846      589.41864      3.4679702
            2.8      400.07291      2.5555978      320.69771        2.04754      511.25616      3.2823869
            2.9      352.34764      2.3710342       281.6071      1.8974905      451.54062      3.0503138
              3      308.38196       2.230176      245.53493      1.7779157      396.12665      2.8733838
            3.1      265.77587      2.0700075      210.94462      1.6438619      342.41039      2.6799166
            3.2      236.27119      1.9755816      186.97838      1.5650282      305.28381      2.5633073
            3.3      205.70194      1.8168161      162.34859      1.4354971      266.52001      2.3642998
            3.4      184.07407      1.7241323      144.78878      1.3573944      239.31259      2.2501728
            3.5       160.8555      1.6042061      126.17703       1.259921      209.69703        2.09788
            3.6      138.36095       1.499355      108.20312      1.1732285      180.92977      1.9687212
            3.7      119.30625      1.3799943      93.047543      1.0777852      156.41817      1.8137552
            3.8      104.53576      1.2981631      81.446571      1.0126509      137.19312       1.708048
            3.9      88.435073      1.1927743      68.724922     0.92804184      116.36493      1.5731724
              4      79.228808      1.1254703       61.42186     0.87353736      104.51754      1.4881147
            4.1      68.907336      1.1156487      53.241641     0.86133709      91.203539      1.4816696
            4.2      57.101878     0.95638367      44.117353     0.73949129      75.578966      1.2691266
            4.3      49.956729     0.89502321      38.557648     0.69121792       66.18404      1.1891841
            4.4      43.270161     0.83495521      33.327211     0.64337733      57.447614      1.1113154
            4.5      36.448922     0.76586811      27.923504     0.58694636      48.647057      1.0240432
            4.6      32.610252     0.73855406      25.002149     0.56649845      43.493103     0.98677054
            4.7      27.316413     0.66117949      20.961232     0.50783203      36.400735     0.88255817
            4.8       22.76383      0.6056867       17.41247     0.46349113      30.436641     0.81132311
            4.9      18.621217     0.55223374      14.247071     0.42253477      24.888975     0.73978509
              5      18.621217     0.55223374      14.247071     0.42253477      24.888975     0.73978509
