# pt_bb-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
            920  0.00063234895  0.00044711587  0.00049059625  0.00034817099  0.00084166465   0.0005975873
            925  0.00064246496  0.00045443273  0.00050809122  0.00036174972  0.00083504601  0.00059202907
            930  0.00031875149  0.00031873555  0.00027296517  0.00027295152  0.00037362143  0.00037360275
            935  0.00094769109  0.00054712992  0.00066935575  0.00038647627   0.0013817047  0.00079777391
            940  0.00065249299  0.00046138346  0.00050464186  0.00035801198  0.00087107643  0.00061956331
            945  0.00032398558  0.00032396938  0.00028140056  0.00028138648  0.00037684675  0.00037682791
            950  0.00059214888  0.00042112883  0.00046780312  0.00034087752  0.00077508603  0.00054903909
            955  0.00032063225  0.00032061622  0.00022324129  0.00022323013  0.00047519808  0.00047517431
            960              0              0              0              0              0              0
            965              0              0              0              0              0              0
            970  0.00033170067  0.00033168409  0.00028036816  0.00028035414  0.00039476591  0.00039474617
            975  0.00092807524  0.00053612477  0.00063685475  0.00036823656   0.0013969428  0.00080655368
            980  0.00032092036  0.00032090431  0.00022456982   0.0002245586  0.00047318928  0.00047316563
            985              0              0              0              0              0              0
            990  0.00032465788  0.00032464164  0.00022881152  0.00022880008  0.00047493397   0.0004749102
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
