qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           1              0.5                 ..a00                                                                         0. +-              0.
0.51           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.51           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           1              1                   ..a00                                                                         0. +-              0.
0.51           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.51           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           1              2                   ..a00                                                                         0. +-              0.
0.51           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.51           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           2              0.5                 ..a00                                                                         0. +-              0.
0.51           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.51           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           2              1                   ..a00                                                                         0. +-              0.
0.51           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.51           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           2              2                   ..a00                                                                         0. +-              0.
0.51           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.52           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           0.5            0.5                 ..a00                                                                         0. +-              0.
0.52           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.52           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           0.5            1                   ..a00                                                                         0. +-              0.
0.52           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.52           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           0.5            2                   ..a00                                                                         0. +-              0.
0.52           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.52           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           1              0.5                 ..a00                                                                         0. +-              0.
0.52           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.52           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           1              1                   ..a00                                                                         0. +-              0.
0.52           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.52           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           1              2                   ..a00                                                                         0. +-              0.
0.52           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.52           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           2              0.5                 ..a00                                                                         0. +-              0.
0.52           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.52           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           2              1                   ..a00                                                                         0. +-              0.
0.52           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.52           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           2              2                   ..a00                                                                         0. +-              0.
0.52           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.53           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           0.5            0.5                 ..a00                                                                         0. +-              0.
0.53           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.53           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           0.5            1                   ..a00                                                                         0. +-              0.
0.53           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.53           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           0.5            2                   ..a00                                                                         0. +-              0.
0.53           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.53           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           1              0.5                 ..a00                                                                         0. +-              0.
0.53           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.53           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           1              1                   ..a00                                                                         0. +-              0.
0.53           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.53           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           1              2                   ..a00                                                                         0. +-              0.
0.53           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.53           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           2              0.5                 ..a00                                                                         0. +-              0.
0.53           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.53           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           2              1                   ..a00                                                                         0. +-              0.
0.53           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.53           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           2              2                   ..a00                                                                         0. +-              0.
0.53           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.54           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           0.5            0.5                 ..a00                                                                         0. +-              0.
0.54           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.54           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           0.5            1                   ..a00                                                                         0. +-              0.
0.54           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.54           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           0.5            2                   ..a00                                                                         0. +-              0.
0.54           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.54           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           1              0.5                 ..a00                                                                         0. +-              0.
0.54           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.54           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           1              1                   ..a00                                                                         0. +-              0.
0.54           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.54           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           1              2                   ..a00                                                                         0. +-              0.
0.54           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.54           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           2              0.5                 ..a00                                                                         0. +-              0.
0.54           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.54           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           2              1                   ..a00                                                                         0. +-              0.
0.54           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.54           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           2              2                   ..a00                                                                         0. +-              0.
0.54           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.55           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           0.5            0.5                 ..a00                                                                         0. +-              0.
0.55           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.55           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           0.5            1                   ..a00                                                                         0. +-              0.
0.55           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.55           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           0.5            2                   ..a00                                                                         0. +-              0.
0.55           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.55           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           1              0.5                 ..a00                                                                         0. +-              0.
0.55           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.55           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           1              1                   ..a00                                                                         0. +-              0.
0.55           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.55           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           1              2                   ..a00                                                                         0. +-              0.
0.55           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.55           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           2              0.5                 ..a00                                                                         0. +-              0.
0.55           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.55           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           2              1                   ..a00                                                                         0. +-              0.
0.55           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.55           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           2              2                   ..a00                                                                         0. +-              0.
0.55           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.56           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           0.5            0.5                 ..a00                                                                         0. +-              0.
0.56           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.56           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           0.5            1                   ..a00                                                                         0. +-              0.
0.56           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.56           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           0.5            2                   ..a00                                                                         0. +-              0.
0.56           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.56           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           1              0.5                 ..a00                                                                         0. +-              0.
0.56           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.56           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           1              1                   ..a00                                                                         0. +-              0.
0.56           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.56           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           1              2                   ..a00                                                                         0. +-              0.
0.56           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.56           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           2              0.5                 ..a00                                                                         0. +-              0.
0.56           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.56           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           2              1                   ..a00                                                                         0. +-              0.
0.56           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.56           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           2              2                   ..a00                                                                         0. +-              0.
0.56           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.57           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           0.5            0.5                 ..a00                                                                         0. +-              0.
0.57           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.57           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           0.5            1                   ..a00                                                                         0. +-              0.
0.57           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.57           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           0.5            2                   ..a00                                                                         0. +-              0.
0.57           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.57           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           1              0.5                 ..a00                                                                         0. +-              0.
0.57           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.57           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           1              1                   ..a00                                                                         0. +-              0.
0.57           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.57           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           1              2                   ..a00                                                                         0. +-              0.
0.57           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.57           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           2              0.5                 ..a00                                                                         0. +-              0.
0.57           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.57           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           2              1                   ..a00                                                                         0. +-              0.
0.57           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.57           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           2              2                   ..a00                                                                         0. +-              0.
0.57           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.58           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           0.5            0.5                 ..a00                                                                         0. +-              0.
0.58           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.58           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           0.5            1                   ..a00                                                                         0. +-              0.
0.58           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.58           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           0.5            2                   ..a00                                                                         0. +-              0.
0.58           0.5            2                   NLO.QT.32                                                                   -nan +-            -nan

0.58           1              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           1              0.5                 ..a00                                                                         0. +-              0.
0.58           1              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.58           1              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           1              1                   ..a00                                                                         0. +-              0.
0.58           1              1                   NLO.QT.32                                                                   -nan +-            -nan

0.58           1              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           1              2                   ..a00                                                                         0. +-              0.
0.58           1              2                   NLO.QT.32                                                                   -nan +-            -nan

0.58           2              0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           2              0.5                 ..a00                                                                         0. +-              0.
0.58           2              0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.58           2              1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           2              1                   ..a00                                                                         0. +-              0.
0.58           2              1                   NLO.QT.32                                                                   -nan +-            -nan

0.58           2              2                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           2              2                   ..a00                                                                         0. +-              0.
0.58           2              2                   NLO.QT.32                                                                   -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

0.59           0.5            0.5                 NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.59           0.5            0.5                 ..a00                                                                         0. +-              0.
0.59           0.5            0.5                 NLO.QT.32                                                                   -nan +-            -nan

0.59           0.5            1                   NLO.QCD.QT                                                                  -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.59           0.5            1                   ..a00                                                                         0. +-              0.
0.59           0.5            1                   NLO.QT.32                                                                   -nan +-            -nan

0.59           0.5            2                   NLO.QCD.QT                                                                  -nan +-            -nan
