qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.1            1              1                   RT.QCD                                                                74995.7077 +-          5.1086

0.1            2              0.5                 NLO.QT.32                                                             19796.2669 +-          4.8219
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.1            2              0.5                 CT.QCD                                                               -48894.0438 +-          2.6693
0.1            2              0.5                 RT.QCD                                                                52629.7197 +-          3.6083

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.11           0.5            2                   NLO.QT.32                                                              28708.591 +-           9.494
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.11           0.5            2                   CT.QCD                                                               -100259.692 +-           5.463
0.11           0.5            2                   RT.QCD                                                                106380.515 +-           7.353

0.11           1              1                   NLO.QT.32                                                             23965.9084 +-          6.6257
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.11           1              1                   CT.QCD                                                               -68401.1802 +-          3.7261
0.11           1              1                   RT.QCD                                                                73129.2454 +-          5.0595

0.11           2              0.5                 NLO.QT.32                                                             19800.2088 +-          4.7602
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.11           2              0.5                 CT.QCD                                                               -47599.9167 +-          2.6020
0.11           2              0.5                 RT.QCD                                                                51339.5344 +-          3.5755

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.12           0.5            2                   NLO.QT.32                                                              28716.766 +-           9.366
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.12           0.5            2                   CT.QCD                                                                -97770.788 +-           5.334
0.12           0.5            2                   RT.QCD                                                                103899.786 +-           7.285

0.12           1              1                   NLO.QT.32                                                             23971.4418 +-          6.5424
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.12           1              1                   CT.QCD                                                               -66714.0462 +-          3.6385
0.12           1              1                   RT.QCD                                                                71447.6448 +-          5.0146

0.12           2              0.5                 NLO.QT.32                                                             19804.0176 +-          4.7047
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.12           2              0.5                 CT.QCD                                                               -46433.6080 +-          2.5414
0.12           2              0.5                 RT.QCD                                                                50177.0346 +-          3.5455

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.13           0.5            2                   NLO.QT.32                                                              28723.318 +-           9.251
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           0.5            2                   VT.QCD                                                                 22587.768 +-           2.492
0.13           0.5            2                   CT.QCD                                                                -95508.831 +-           5.216
0.13           0.5            2                   RT.QCD                                                                101644.380 +-           7.222

0.13           1              1                   NLO.QT.32                                                             23975.7807 +-          6.4665
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
