#   pt_bb-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
            660   0.0055505316   0.0038872819   0.0022814373   0.0056865271   0.0066383265   0.0034914486
            665    0.020415866   0.0046306064    0.015238268    0.003386059    0.028183228   0.0067111002
            670    0.026070315    0.010394109    0.022393445    0.009623658    0.030074567     0.01118069
            675    0.013708622   0.0038405081    0.011179685   0.0029168545    0.016595217   0.0053053308
            680    0.017327618   0.0039414437    0.013681614   0.0031393201    0.022071024   0.0050580106
            685    0.019737992   0.0047546436    0.017576063   0.0044190195    0.020958898    0.005506082
            690   0.0088465944   0.0032526978   0.0066412204   0.0024085731    0.012095905   0.0045669925
            695    0.010417618    0.003105453   0.0076958859   0.0023536421    0.014558917   0.0042933883
            700    0.014785354   0.0040717076     0.01190496    0.003387404    0.018477736   0.0054115014
            705   0.0056416732   0.0031467094   0.0048494292    0.002293153   0.0062484449   0.0046035933
            710    0.013670039    0.003952511    0.011084823   0.0030824928    0.016803071   0.0052627902
            715    0.019009862   0.0050954358    0.015115256   0.0041862743    0.024221476   0.0065168082
            720    0.014685905   0.0041392943    0.011608937   0.0033653693    0.018987599   0.0052911085
            725    0.010769862   0.0035640525   0.0092168111   0.0026035423     0.01209122   0.0056972781
            730     0.01305939    0.004149789    0.010074527   0.0030533348    0.017163366   0.0059164723
            735    0.003850433    0.002034087   0.0035597441    0.001700199   0.0039597834     0.00248138
            740   0.0086165945   0.0026003027   0.0062493307   0.0018949514    0.012251909   0.0037178606
            745    0.010497165   0.0033963417      0.0077925   0.0024856739    0.014540905   0.0048320156
            750   0.0092033268   0.0036057454   0.0084054529   0.0027397744   0.0095812597   0.0039189858
            755   0.0027121456    0.001601999   0.0019652166   0.0011632106    0.003853248   0.0022857325
            760   0.0027155315   0.0021256632   0.0015001399   0.0032562398   0.0030066338   0.0017058094
            765    0.014631083   0.0052237724    0.011823307    0.004520086    0.018396319   0.0061788609
            770   0.0075831102   0.0025802769   0.0056126772    0.001926573    0.010539902   0.0036220894
            775   0.0069552953   0.0031620258   0.0047255312   0.0076861358   0.0073698621   0.0025197691
            780    0.010388268   0.0055968835   0.0078997046   0.0039531186    0.013947579   0.0082824823
            785   0.0063231102   0.0024905584   0.0046924212   0.0017735949   0.0087119094   0.0036455108
            790     0.01054626    0.003538295   0.0084949409   0.0026622252    0.012941279   0.0049654056
            795   0.0031952756    0.002417303   0.0028518307   0.0017022697    0.003333878   0.0032364992
            800   0.0027598425   0.0024395403   0.0025165157   0.0018499463   0.0028123819   0.0026672419
            805   0.0052436812   0.0024574645   0.0042740945   0.0017581976   0.0063009449   0.0037563268
            810   0.0076731889   0.0032257976   0.0063316929   0.0024387841   0.0090395867   0.0048175748
            815    0.011695728   0.0031538542   0.0085964568    0.002333804     0.01625565   0.0044129912
            820    0.005360118   0.0020258329   0.0041027756   0.0015723011    0.007038937   0.0027362182
            825   0.0068249606   0.0025461686   0.0049590335   0.0018499967   0.0096530116   0.0036278228
            830   0.0068696654   0.0024903108   0.0058325197   0.0021269695    0.007818878   0.0029788713
            835   0.0049344291   0.0025083722   0.0037991339   0.0018179735   0.0064765748   0.0036088791
            840   0.0028328346   0.0019928001   0.0022124212   0.0014016953   0.0036564962   0.0030009599
            845 -0.00076568897   0.0013261459  -0.0021028346   0.0026225165 -0.00014311023    0.000727325
            850    0.002448622    0.001782499   0.0014357678   0.0039227183    0.002724063    0.001301819
            855    0.003418937   0.0017219558   0.0024940157   0.0012478685   0.0048387598   0.0024836464
            860   0.0023961417    0.001758584   0.0019242913   0.0012766241   0.0029720669   0.0025335627
            865   0.0055011613   0.0023506655   0.0038629725   0.0016238341   0.0081174802   0.0035688597
            870   0.0032593898   0.0016384858   0.0025079725   0.0012786686   0.0042769094   0.0022016458
