#   pt_Z-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            865   0.0045941338   0.0018754535   0.0031067323   0.0012735207   0.0071017716   0.0029137812
            870   0.0045941338   0.0018754535   0.0034468504   0.0014096687   0.0062462992   0.0025580965
            875   0.0030627559   0.0018754535    0.002179626   0.0013324769   0.0044781102   0.0027320638
            880   0.0053598228    0.002296952    0.004191811   0.0016986888   0.0068928542   0.0032888472
            885   0.0022970669   0.0013261459    0.001625689  0.00094226812   0.0033507087   0.0019440865
            890   0.0015313779   0.0015313014   0.0012210631   0.0022838434   0.0015476575   0.0013844227
            895   0.0015313779   0.0010827936   0.0009837992  0.00069582591   0.0024756693   0.0017511551
            900   0.0030627559   0.0018754535   0.0027709056   0.0014362131    0.003069567   0.0020687597
            905   0.0038284448    0.001712047   0.0030256692   0.0013607968    0.004711811   0.0021493887
            910              0   0.0010827936  -0.0001080315   0.0016496355  5.2047264e-05  0.00097261346
            915   0.0053598228   0.0020257213   0.0041272638   0.0015682559   0.0070122638   0.0026794771
            920   0.0045941338   0.0021655871   0.0033666929   0.0014581957   0.0064390748   0.0033858563
            925   0.0022970669    0.001712047   0.0016507086   0.0027354558   0.0023779724   0.0015361834
            930  0.00076568897   0.0013261459  0.00048027562    0.002191434  0.00082706692  0.00097011307
            935   0.0015313779   0.0010827936    0.001081752  0.00076636874   0.0022432677    0.001590344
            940   0.0015313779   0.0010827936   0.0011571654   0.0008189112   0.0020818504   0.0014733089
            945    0.021289272    0.017543691    0.014467835    0.011686028     0.03244195    0.027217678
            950   0.0015313779   0.0010827936   0.0010425984  0.00073738138   0.0023338976    0.001650898
            955              0   0.0015313014 -0.00047324813   0.0026224097  0.00020005905  0.00094848046
            960   0.0030627559   0.0015313014   0.0022672441   0.0011367933   0.0042539173   0.0021360654
            965   0.0053598228   0.0020257213   0.0036385631   0.0013815772   0.0082079724   0.0031214603
            970   0.0015313779   0.0015313014   0.0013544291   0.0028231012   0.0015388386    0.001326901
            975  0.00076568897  0.00076565068  0.00060110235  0.00060107229  0.00099240157  0.00099235197
            980   0.0022970669   0.0013261459   0.0014808464  0.00085523717   0.0037155314   0.0021462601
            985   0.0022970669    0.001712047   0.0017773445   0.0025475726   0.0023085827   0.0014621894
            990  0.00076568897   0.0013261459  0.00052962595   0.0020250632  0.00081265749    0.001197425
            995   0.0015313779   0.0015313014   0.0013700985    0.001075598   0.0015947244    0.001762427
           1000   0.0015313779   0.0015313014   0.0013700985    0.001075598   0.0015947244    0.001762427
