# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            670 -0.00052130999  0.00075553719  -0.0013199237   0.0011911868 -0.00012824804  0.00051335919
            675   0.0018167758  0.00077475212   0.0015366931  0.00059122564   0.0020421367   0.0010910858
            680   0.0015179586  0.00079611243   0.0011635866  0.00054491579   0.0020073387   0.0012294751
            685   0.0027473131  0.00090046176   0.0021546327  0.00068015795    0.003507345   0.0012403864
            690  0.00074926547  0.00066075219  0.00056819078  0.00043854988  0.00098776471   0.0010481519
            695  0.00035937043  0.00061531057 -0.00017406035   0.0010085043  0.00055297298  0.00045509324
            700   0.0014986327  0.00061178365    0.001062213  0.00043480984   0.0021797392   0.0008935564
            705  0.00049949125   0.0004994758   0.0003509062  0.00031990671  0.00073998725  0.00081629971
            710   0.0014985246  0.00061173951   0.0010457997  0.00042912631   0.0022175071  0.00091309849
            715  0.00049951669  0.00035319398  0.00043739905  0.00031826108  0.00053338633  0.00037714788
            720   0.0012580031   0.0005626285   0.0008615453  0.00038607106   0.0019064229  0.00085331266
            725   0.0011662321  0.00060079777  0.00080751668  0.00041101157    0.001754849  0.00093170543
            730   0.0012487822  0.00055844443  0.00090449602  0.00040898668   0.0017732909  0.00080643738
            735   0.0017482861  0.00066075699   0.0013159491  0.00049918544   0.0023504865  0.00089453984
            740  0.00074925912  0.00043256332  0.00050271543  0.00029049024   0.0011614118  0.00067122722
            745   0.0015867281   0.0006527307   0.0012253355  0.00051206149   0.0020718665  0.00087787516
            750  0.00024976154  0.00055844443  -8.328779e-05  0.00088483092  0.00036397459  0.00044047337
            755  0.00024976154  0.00043257067  8.0349787e-05  0.00059429081  0.00029239426  0.00033775274
            760  0.00049951669  0.00035319398  0.00044911288  0.00033111638  0.00053533863  0.00037909275
            765  0.00099902063   0.0006117421  0.00070124008  0.00040773653        0.00148  0.00096237103
            770  0.00024975516  0.00024974267  0.00017091256  0.00017090401  0.00037870906  0.00037869011
            775  0.00050216217  0.00035506947   0.0003923434  0.00027741953  0.00065243879  0.00046132986
            780              0  0.00035318947 -0.00013495072  0.00068055155  5.5364079e-05  0.00018987377
            785   0.0004994976  0.00035318048  0.00031549761  0.00022311704  0.00083065816  0.00058741532
            790  0.00024976151  0.00043256332  0.00016428617  0.00070567308  0.00026731954  0.00038564224
            795 -0.00024975516  0.00024974267 -0.00041925596  0.00041923501 -0.00015341812  0.00015341045
            800              0  0.00035318947 -6.7001558e-05  0.00058947077  2.7701107e-05  0.00022116952
            805  0.00074855322  0.00055780466  0.00054883306  0.00039393125   0.0010490366  0.00083996635
            810  0.00049975836  0.00035336491  0.00032109381  0.00022715279  0.00081259774  0.00057498643
            815  0.00049950396  0.00049948216  0.00039781239  0.00035549441  0.00061617805  0.00072857912
            820  0.00024975516  0.00043256699  0.00022778383  0.00064072351   0.0002540159  0.00040112353
            825 -0.00024975516  0.00024974267 -0.00043777421  0.00043775234 -0.00014594595  0.00014593865
            830  0.00024976154  0.00024974905  0.00019446741  0.00019445769  0.00025768521  0.00025767233
            835  0.00024975516  0.00024974267  0.00016316694  0.00016315878   0.0003993132  0.00039929323
            840              0  0.00049948534 -0.00012751033  0.00085025856  5.2254369e-05  0.00030754689
            845  0.00024975516  0.00055844158  0.00020754207  0.00091792327  0.00025262321  0.00049346561
            850 -0.00024975516  0.00024974267  -0.0006168076  0.00061677676 -8.2416534e-05  8.2412413e-05
            855  0.00024975516  0.00024974267  0.00016794913  0.00016794073  0.00038561526  0.00038559599
            860  0.00049951031  0.00035318947  0.00040024802  0.00028300465  0.00061636884  0.00043582081
            865  0.00024975516  0.00024974267  0.00017898887  0.00017897992  0.00035863275  0.00035861482
            870   0.0002497488  0.00024973631  0.00015854372  0.00015853579   0.0004113132  0.00041129262
            875  0.00050229571  0.00035516435  0.00038298251  0.00027114577  0.00067252146  0.00047607378
            880              0              0              0              0              0              0
            885              0              0              0              0              0              0
