#pt_bbZ-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
            775   0.0095538445   0.0015889653   0.0070561781   0.0011786581    0.013257526   0.0022555926
            780   0.0054947538   0.0012235155   0.0041619459  0.00092349717   0.0073843689    0.001700512
            785   0.0055726679   0.0014286262    0.004928992   0.0011373614   0.0057980458   0.0018275029
            790   0.0062433197    0.001434449   0.0046568521   0.0010204571   0.0085427599   0.0021498171
            795   0.0062440384    0.001434699   0.0048659135   0.0010442633   0.0079712115   0.0021242657
            800   0.0062440384   0.0012977341   0.0045077456  0.00093722312   0.0089002162   0.0018936439
            805   0.0087416538   0.0015991742   0.0067447758   0.0011902045    0.011377514      0.0022773
            810   0.0047454692   0.0012977341   0.0038558537  0.00098427818   0.0057689603   0.0018292344
            815   0.0050703849   0.0013971257    0.003936814   0.0010035952   0.0065982065   0.0020650549
            820   0.0046825439   0.0012249346   0.0036406168  0.00089913725    0.006074213   0.0017891726
            825    0.003746423   0.0010297417   0.0030038347  0.00080500039   0.0045823059   0.0014032565
            830   0.0039961846   0.0011169117   0.0031682226  0.00083382004   0.0050019268   0.0015968143
            835   0.0053273897    0.001217604   0.0038719936  0.00087324328   0.0075736852   0.0017978706
            840   0.0052449923   0.0011977543   0.0041423847  0.00094562264   0.0066066429   0.0016151378
            845   0.0060067411   0.0013239597   0.0046481908  0.00097959713   0.0077541176   0.0019151799
            850      0.0032469   0.0010297417   0.0024116439  0.00073102339   0.0044518728   0.0015252247
            855   0.0042650876   0.0010345506    0.003293221   0.0008089502   0.0055473501   0.0013824246
            860      0.0032469  0.00090048299   0.0024856026   0.0006995648   0.0042709253   0.0012197094
            865   0.0027473769   0.0009672739   0.0022892681  0.00071741984   0.0031480649   0.0015000028
            870   0.0022478538  0.00082832388   0.0017342321  0.00059882092    0.002912318   0.0012240112
            875   0.0024976154  0.00093447536   0.0019711797  0.00067087663   0.0031555676   0.0013916843
            880   0.0029971384   0.0010595955   0.0023117711  0.00073877375    0.003917876   0.0016166662
            885   0.0042459461   0.0010886309   0.0032385565  0.00081300307   0.0056243243   0.0015230068
            890    0.003746423   0.0011444939   0.0030005278  0.00083026909   0.0045504738   0.0016875258
            895   0.0024976154  0.00086515607    0.001804814  0.00060856347   0.0035208904   0.0013109033
            900   0.0022478538  0.00082832388    0.001814849  0.00063726733     0.00268669   0.0011557653
            905   0.0022478538  0.00082832388    0.001677876  0.00058836996   0.0030473069   0.0012230173
            910   0.0012488077  0.00074924714   0.0009785183  0.00050963278   0.0015672114   0.0011789447
            915   0.0029971384   0.0010595955   0.0024158645  0.00072798409   0.0036295581   0.0017792037
            920   0.0014985692  0.00078977583   0.0011374372  0.00054137507   0.0020264611   0.0012226908
            925   0.0027946201  0.00084338179   0.0020845278  0.00063623931   0.0037991288   0.0011788278
            930   0.0024976154  0.00078977583   0.0020383402  0.00065542842   0.0029763364  0.00098660575
            935   0.0014985692  0.00070639698    0.001106531  0.00049948928   0.0020775517   0.0010464762
            940   0.0024976154  0.00086515607   0.0021118537  0.00071064901   0.0027740286    0.001222943
            945   0.0022478538  0.00074924714   0.0016343529  0.00055017132   0.0031661685   0.0010724205
            950   0.0012488077  0.00066077387   0.0010381558  0.00048977957    0.001428426  0.00094871857
            955   0.0017483308  0.00082832388   0.0013705698  0.00054721212   0.0022013418   0.0014063282
            960  0.00099904614  0.00049949809  0.00073915422  0.00037199117   0.0013717138  0.00069415369
            965   0.0023478855    0.002199615   0.0015696852   0.0013909863   0.0036600127   0.0036260417
            970   0.0019980923  0.00078977583   0.0016168585  0.00058020444   0.0023923752   0.0011570464
            975   0.0022478538  0.00074924714   0.0017199618  0.00057950996   0.0029505056   0.0010072908
            980   0.0022478538  0.00074924714   0.0015840445  0.00052903493   0.0032995167   0.0011028206
            985   0.0027473769  0.00082832388   0.0021718982  0.00066340555   0.0034809094   0.0010786904
            990  0.00099904614  0.00049949809  0.00080579968  0.00041337387   0.0012164707  0.00064938367
            995  0.00049952307  0.00078977583 -0.00028786645   0.0013669546  0.00076559492  0.00055966618
           1000  0.00049952307  0.00078977583 -0.00028786645   0.0013669546  0.00076559492  0.00055966618
