#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
            114      362.20144     0.73990043      289.93332     0.57294624       470.6193      1.0810794
            115      355.91856     0.73283418      284.73654     0.56564999      462.61416      1.0621582
            116      350.28945     0.72866867      280.64686     0.56653938      454.04397      1.0673958
            117      342.79458     0.71836896      274.62516     0.55759155      444.40887      1.0447161
            118      338.72088     0.71213984      271.37807     0.55199129      439.14665      1.0298766
            119      331.20876     0.70413192      265.38322     0.54823955      429.04607      1.0240674
            120      324.04138     0.69771328      259.75602     0.54071147      419.69519      1.0055745
            121        318.388     0.68903845      255.40038     0.53625715      411.83408     0.99487567
            122      311.62322     0.68159197       250.1071     0.52972108        402.721      0.9800229
            123      305.52808     0.67387433      245.01563     0.52416006      395.30774     0.96793971
            124      299.72999      0.6675728      240.68669     0.52423059      387.02786     0.97303926
            125      294.18524     0.66522555       236.1776     0.51885342      379.92733     0.95671044
            126      286.96054     0.65249964      230.55345     0.50860916      370.03131     0.93452039
            127      280.53609      0.6454407      225.56378     0.50513623      361.36734     0.93126093
            128      276.22208     0.64028601      221.98981     0.50000059      356.01746     0.91641271
            129      270.73779     0.63334585       217.4536     0.49329976      349.27966     0.90011958
            130       264.4231     0.62532704      212.58077     0.48757744      340.61974     0.88835426
            131      259.09663     0.61976814      208.35081     0.48362288      333.46729     0.87939466
            132      254.93046     0.61284121      205.12668     0.48054109      327.94871     0.87457471
            133      248.23132     0.60443173      199.65084      0.4726827      319.39619     0.85683447
            134      244.73016     0.60041124       196.8471     0.46995251      314.85069     0.85073202
            135      240.30064     0.59411647       193.3533     0.46528985      308.99163     0.84185921
            136      235.07318     0.58740215      189.25612     0.46059816       301.8789     0.83212828
            137      229.73285     0.57992638       184.7999     0.45391583       295.5055     0.81795508
            138      225.84579     0.57496715      181.79379     0.45134976      290.07975     0.81504816
            139      221.02176     0.56817839      177.96181     0.44809254      283.95362     0.81007237
            140      216.51804     0.56260144      174.35513     0.44064758      277.97147     0.79046593
            141      212.03476     0.55658395       170.7343     0.43658665      272.10356     0.78302356
            142      208.06331     0.55133368      167.66651     0.43322291      266.73395     0.77741277
            143      205.02679     0.54645567      165.21628     0.43126021      262.87487     0.77353508
            144      200.37583      0.5406003      161.39168     0.42416897      257.16293     0.75821364
            145        197.083     0.53525743      158.65119     0.42057185      253.06493     0.75030995
            146      193.09755     0.53120566      155.69878     0.41819338      247.43072     0.74737582
            147      189.80901     0.52700001      153.23348     0.42198782      242.62169     0.76420672
            148      186.63509     0.52025519      150.50483     0.41158005      239.04935     0.73621602
            149      182.21619     0.51497273      147.01033     0.40512775      233.13758     0.72044235
            150      178.45391      0.5097829      143.95733     0.40103377       228.3719     0.71141437
            151      176.16928     0.50654346      142.15453     0.39787823      225.29676     0.70669387
            152      173.35554     0.50145184      139.92738     0.39992595      221.67249     0.71421465
            153      169.81363     0.49584103      137.12228     0.39074428      217.02683     0.69152298
            154       167.7483     0.49282421      135.26125     0.38752794      214.70375     0.68444891
            155      164.27907     0.48857134      132.61654     0.38529799      210.01425     0.68115496
            156      161.70889      0.4836745      130.48375     0.38057148       206.8649     0.66958889
            157      158.67264      0.4793045      128.12061      0.3790558      202.63943     0.66930449
            158      156.67703     0.47596596      126.48776     0.37553936      200.25239     0.66186426
            159      153.97786     0.47068238      124.26554     0.37089126       196.8417     0.65052296
            160      151.21511     0.46686654      122.12034     0.36859232      193.19279     0.64790159
            161      148.60491      0.4635483      120.09128        0.36601      189.66201      0.6436803
            162      146.21667     0.45895011      118.20156     0.36350143      186.50879      0.6387847
            163      144.10413     0.45550528      116.45879     0.36442471      183.85131     0.64607169
            164      141.35888     0.45202366      114.35376     0.36881234      180.02099     0.65964456
            165      139.38723      0.4478672      112.88835     0.35757053      177.30412     0.62697789
            166       137.8653     0.44529831      111.38585     0.35131158      176.01159     0.61348575
            167      134.52983     0.44000754      108.83458     0.34839642      171.40838     0.60866734
            168      132.80404     0.43712902      107.34524     0.34559341      169.33329      0.6032319
            169      130.65107     0.43392339      105.79815     0.34437486      166.15958     0.60193987
            170      128.55426     0.42892605      103.96908     0.33950767      163.85605     0.58994373
            171      126.11036     0.42534117      102.02493      0.3363189      160.62414     0.58616578
            172      124.53743     0.42213186      100.68675     0.33398783      158.71264     0.58135997
            173      122.57716     0.41993031      99.304221     0.33544233       155.8284     0.58540356
            174      121.54343     0.41654484      98.311868     0.32990041      154.81825     0.57169068
            175      119.45571     0.41374667      96.613273     0.32726333      152.20146     0.56764149
            176      118.68724      0.4113761      96.120331     0.32784044      150.99415     0.56975343
            177      116.36906     0.40759144      94.211142     0.32284797      148.07247     0.55955713
            178      114.03681     0.40354631       92.44934     0.32121437      144.78122     0.55732767
            179      112.27038     0.40120999       90.94577     0.31866453      142.70607     0.55190309
            180      110.40616     0.39787297      89.535415     0.31638755      140.07056     0.54870816
            181      109.53247     0.39582773      88.758014     0.31398937      139.13871     0.54362743
            182      107.63466     0.39237668      87.326795     0.31435101      136.47352     0.54582239
            183      105.84977     0.38950728      85.761454     0.30836706      134.48651     0.53282452
            184      105.00281     0.38654945      84.998301     0.30632351      133.57823     0.52720567
            185      103.74136     0.38479361       84.17356     0.30842872      131.60678      0.5357978
            186      102.59602     0.38216193      83.152398     0.30388852      130.36575     0.52285805
            187      100.78699     0.38041759      81.750777     0.30382587      127.89095     0.52760621
            188      98.837005     0.37613836      80.161643     0.29875635      125.35652     0.51494795
            189      97.710186     0.37376093      79.259421     0.29762459       123.9536     0.51358426
            190      96.343693     0.37047008      78.162291     0.29484725       122.2182     0.50806375
            191      95.272116     0.36868358       77.37973     0.29860807      120.62594     0.52208338
            192      94.098237     0.37473267      76.249615     0.29606264       119.5263     0.51246708
            193      92.079099     0.36865519      74.778396     0.29312987      116.61516     0.50819175
            194       91.72371     0.36126501      74.332151     0.28643541      116.54134      0.4903531
            195      90.891568     0.35906587      73.698966     0.28586071      115.31855     0.48937087
            196      89.297105     0.35797571      72.405745     0.28368898      113.32443     0.48604225
            197       88.19361     0.35444695      71.623883     0.28406035      111.69659     0.49000033
            198       87.62367     0.35285252        71.0803     0.28138969      111.09829     0.48284676
            199       86.28132     0.35029583      70.016097     0.27819241      109.40173     0.47553121
            200      85.129122     0.34662767      69.135098     0.27878994      107.80063     0.47834663
            201      83.963528     0.34454776      68.185365     0.27480862      106.33818     0.47038548
            202      83.662584     0.34420672       67.89891     0.27443943      106.03064      0.4694833
            203      81.618547     0.34010966      66.316433     0.27153967      103.26966     0.46362692
            204       80.66125     0.33850332      65.513347     0.26946833      102.13424     0.45920904
            205      79.941585     0.33649217      64.890518     0.26835946      101.33025     0.45650571
            206      79.090745     0.33455556      64.219176      0.2662343      100.18258     0.45208993
            207      77.868387      0.3330023      63.245328     0.26519259      98.584205     0.45213677
            208      76.782246     0.33043255      62.491369     0.26683732      96.933426     0.45753584
            209      76.426558     0.32879518      62.109639     0.26201118      96.692378     0.44357025
            210      75.207869     0.32532916       61.08006     0.25997514      95.207506     0.44114487
            211      74.672511     0.32525029      60.636233     0.25895229      94.585618     0.44055987
            212      74.003202     0.32283886      60.164753     0.25912418      93.533494     0.44226974
            213      72.461928     0.32025774      58.938587     0.25517979      91.582404     0.43293771
            214      71.755929     0.31824277      58.292429     0.25493652      90.823843     0.43255183
            215      70.736244     0.31635821       57.53772      0.2524686      89.382194     0.42709815
            216      70.002854     0.31672878      56.942555     0.25286792      88.426051     0.42995434
            217      69.774972     0.31485265      56.673139     0.25081397      88.363584     0.42536316
            218      68.289185     0.31066052      55.553182      0.2503337      86.265814     0.42708376
            219      67.896782     0.30976096       55.28524     0.24972317      85.712469     0.42258005
            220      67.003342      0.3096794      54.543179       0.250149      84.557764      0.4275336
            221      66.122389     0.30563453      53.815389     0.24414898      83.470801      0.4130904
            222      65.423215     0.30402916      53.314554      0.2433299       82.46921     0.41025685
            223      64.737647     0.30213554       52.67138     0.24646137      81.750686     0.42048699
            224      64.340408     0.30114726       52.33209     0.24063557      81.310664     0.40559004
            225      63.395621     0.31473414      51.583288     0.24893808      80.043302     0.42775865
            226      62.865056     0.29816747      51.159748     0.23862226       79.36396     0.40182215
            227      61.821304     0.29525504      50.294033     0.23624902      78.075937     0.39852256
            228      60.919356     0.29334811      49.635989     0.23476209      76.794502     0.39546018
            229      60.438418     0.29183184      49.166056     0.23295001      76.349037     0.39192813
            230      60.162487     0.29158216      49.029559     0.23316215      75.805906     0.39244401
            231      59.539717     0.28941577      48.468371     0.23105846      75.145251     0.38797752
            232        58.4978     0.28741521      47.588295     0.22924276       73.89617     0.38512263
            233      58.006075     0.28597857      47.171487     0.22799698      73.328058     0.38316809
            234      57.805256     0.29507004      47.047496     0.23487523      72.995339     0.40070556
            235      57.384188     0.28373027       46.71682     0.22788735      72.444821     0.38317916
            236       56.33011     0.28097501      45.865695      0.2245618      71.098475     0.37615391
            237      55.752068     0.28072871      45.451997     0.22515075      70.236723     0.37811861
            238      55.426042      0.2792805       45.21072     0.22413498      69.780563     0.37657353
            239      54.759567     0.27669342       44.62588      0.2228319      69.029792     0.37450197
