#   m_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            219      30.725908     0.42957871      30.725908     0.42957871      30.725908     0.42957871
            220      31.911249     0.61342022      31.911249     0.61342022      31.911249     0.61342022
            221      30.415456     0.48264798      30.415456     0.48264798      30.415456     0.48264798
            222      30.215592     0.47827667      30.215592     0.47827667      30.215592     0.47827667
            223      31.027374     0.58238349      31.027374     0.58238349      31.027374     0.58238349
            224      30.159527     0.51434805      30.159527     0.51434805      30.159527     0.51434805
            225      30.005715     0.63395703      30.005715     0.63395703      30.005715     0.63395703
            226      29.298246     0.44287273      29.298246     0.44287273      29.298246     0.44287273
            227      28.786968     0.42181187      28.786968     0.42181187      28.786968     0.42181187
            228       28.00511     0.54328134       28.00511     0.54328134       28.00511     0.54328134
            229      29.602078      0.6754457      29.602078      0.6754457      29.602078      0.6754457
            230      28.923119     0.58812853      28.923119     0.58812853      28.923119     0.58812853
            231      27.192435     0.57396555      27.192435     0.57396555      27.192435     0.57396555
            232      27.384214     0.42554812      27.384214     0.42554812      27.384214     0.42554812
            233      26.911601     0.46394366      26.911601     0.46394366      26.911601     0.46394366
            234      27.191346     0.44853389      27.191346     0.44853389      27.191346     0.44853389
            235      27.901155     0.55122309      27.901155     0.55122309      27.901155     0.55122309
            236      27.100242     0.52113486      27.100242     0.52113486      27.100242     0.52113486
            237      26.198674     0.46692705      26.198674     0.46692705      26.198674     0.46692705
            238      25.839903     0.41801619      25.839903     0.41801619      25.839903     0.41801619
            239      25.994902     0.45042816      25.994902     0.45042816      25.994902     0.45042816
            240       25.48506     0.45612635       25.48506     0.45612635       25.48506     0.45612635
            241      25.230435     0.39416824      25.230435     0.39416824      25.230435     0.39416824
            242      25.936813     0.50469544      25.936813     0.50469544      25.936813     0.50469544
            243      25.000374     0.47774148      25.000374     0.47774148      25.000374     0.47774148
            244      24.476817     0.40062248      24.476817     0.40062248      24.476817     0.40062248
            245      24.408531     0.45977689      24.408531     0.45977689      24.408531     0.45977689
            246      24.235322     0.43953435      24.235322     0.43953435      24.235322     0.43953435
            247      23.914007     0.37944307      23.914007     0.37944307      23.914007     0.37944307
            248      24.836015     0.53036826      24.836015     0.53036826      24.836015     0.53036826
            249      23.223514      0.3866651      23.223514      0.3866651      23.223514      0.3866651
            250      24.575997     0.46046404      24.575997     0.46046404      24.575997     0.46046404
            251      23.568878     0.43397072      23.568878     0.43397072      23.568878     0.43397072
            252       23.34243     0.40623346       23.34243     0.40623346       23.34243     0.40623346
            253      23.327916     0.45417105      23.327916     0.45417105      23.327916     0.45417105
            254      23.514369     0.44187473      23.514369     0.44187473      23.514369     0.44187473
            255      23.656666     0.53313043      23.656666     0.53313043      23.656666     0.53313043
            256      22.321814     0.42549592      22.321814     0.42549592      22.321814     0.42549592
