#    pt_Z-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            695    0.013501495   0.0017966057    0.013501495   0.0017966057    0.013501495   0.0017966057
            700    0.010878633   0.0018329521    0.010878633   0.0018329521    0.010878633   0.0018329521
            705    0.015454614   0.0020020306    0.015454614   0.0020020306    0.015454614   0.0020020306
            710    0.011931784   0.0017893738    0.011931784   0.0017893738    0.011931784   0.0017893738
            715   0.0087664676   0.0014604439   0.0087664676   0.0014604439   0.0087664676   0.0014604439
            720   0.0075165597   0.0014054467   0.0075165597   0.0014054467   0.0075165597   0.0014054467
            725   0.0065283181   0.0015440921   0.0065283181   0.0015440921   0.0065283181   0.0015440921
            730    0.010798557   0.0017293382    0.010798557   0.0017293382    0.010798557   0.0017293382
            735    0.009961768   0.0016932469    0.009961768   0.0016932469    0.009961768   0.0016932469
            740   0.0084738126   0.0014050403   0.0084738126   0.0014050403   0.0084738126   0.0014050403
            745   0.0075015518   0.0013797352   0.0075015518   0.0013797352   0.0075015518   0.0013797352
            750   0.0069142512   0.0014220372   0.0069142512   0.0014220372   0.0069142512   0.0014220372
            755   0.0059406361   0.0012960626   0.0059406361   0.0012960626   0.0059406361   0.0012960626
            760   0.0067836821   0.0013881228   0.0067836821   0.0013881228   0.0067836821   0.0013881228
            765   0.0083995868    0.001432308   0.0083995868    0.001432308   0.0083995868    0.001432308
            770    0.005184299   0.0012667976    0.005184299   0.0012667976    0.005184299   0.0012667976
            775   0.0073137298   0.0013039887   0.0073137298   0.0013039887   0.0073137298   0.0013039887
            780   0.0075686043   0.0014612023   0.0075686043   0.0014612023   0.0075686043   0.0014612023
            785   0.0063339651   0.0013580949   0.0063339651   0.0013580949   0.0063339651   0.0013580949
            790   0.0055394787   0.0012701424   0.0055394787   0.0012701424   0.0055394787   0.0012701424
            795   0.0054386773   0.0012145438   0.0054386773   0.0012145438   0.0054386773   0.0012145438
            800   0.0043592941   0.0011600382   0.0043592941   0.0011600382   0.0043592941   0.0011600382
            805   0.0058539206   0.0012285358   0.0058539206   0.0012285358   0.0058539206   0.0012285358
            810   0.0072941687   0.0013562034   0.0072941687   0.0013562034   0.0072941687   0.0013562034
            815   0.0029049858   0.0009786664   0.0029049858   0.0009786664   0.0029049858   0.0009786664
            820   0.0056933356    0.001218886   0.0056933356    0.001218886   0.0056933356    0.001218886
            825   0.0050277839   0.0011557777   0.0050277839   0.0011557777   0.0050277839   0.0011557777
            830   0.0050864866   0.0011133643   0.0050864866   0.0011133643   0.0050864866   0.0011133643
            835   0.0029997711   0.0010681767   0.0029997711   0.0010681767   0.0029997711   0.0010681767
            840   0.0046600764   0.0011122487   0.0046600764   0.0011122487   0.0046600764   0.0011122487
            845   0.0067813928   0.0017111424   0.0067813928   0.0017111424   0.0067813928   0.0017111424
            850   0.0037235104  0.00097269191   0.0037235104  0.00097269191   0.0037235104  0.00097269191
            855    0.005394938    0.001134453    0.005394938    0.001134453    0.005394938    0.001134453
            860   0.0046743212   0.0011097134   0.0046743212   0.0011097134   0.0046743212   0.0011097134
            865   0.0040332974  0.00098352196   0.0040332974  0.00098352196   0.0040332974  0.00098352196
            870   0.0026417234  0.00084559559   0.0026417234  0.00084559559   0.0026417234  0.00084559559
            875   0.0031661622  0.00092531128   0.0031661622  0.00092531128   0.0031661622  0.00092531128
            880     0.00223069   0.0008706576     0.00223069   0.0008706576     0.00223069   0.0008706576
            885   0.0011089857   0.0006835487   0.0011089857   0.0006835487   0.0011089857   0.0006835487
            890    0.002484636  0.00075721146    0.002484636  0.00075721146    0.002484636  0.00075721146
            895   0.0026167632  0.00093565874   0.0026167632  0.00093565874   0.0026167632  0.00093565874
            900   0.0024671097   0.0007507086   0.0024671097   0.0007507086   0.0024671097   0.0007507086
            905   0.0025922735  0.00092949712   0.0025922735  0.00092949712   0.0025922735  0.00092949712
            910   0.0031348045  0.00091542058   0.0031348045  0.00091542058   0.0031348045  0.00091542058
            915   0.0031271924  0.00092795144   0.0031271924  0.00092795144   0.0031271924  0.00092795144
            920   0.0025468935  0.00077294801   0.0025468935  0.00077294801   0.0025468935  0.00077294801
            925   0.0025396948  0.00089578783   0.0025396948  0.00089578783   0.0025396948  0.00089578783
            930   0.0025161273  0.00085262795   0.0025161273  0.00085262795   0.0025161273  0.00085262795
            935  0.00046610493  0.00056524664  0.00046610493  0.00056524664  0.00046610493  0.00056524664
            940   0.0018196184  0.00088967923   0.0018196184  0.00088967923   0.0018196184  0.00088967923
            945   0.0024787546  0.00075399348   0.0024787546  0.00075399348   0.0024787546  0.00075399348
            950   0.0033770812  0.00090600883   0.0033770812  0.00090600883   0.0033770812  0.00090600883
            955   0.0018375135  0.00074594348   0.0018375135  0.00074594348   0.0018375135  0.00074594348
            960   0.0018043116  0.00064323188   0.0018043116  0.00064323188   0.0018043116  0.00064323188
            965   0.0015394913  0.00058910092   0.0015394913  0.00058910092   0.0015394913  0.00058910092
            970   0.0017285024  0.00065344093   0.0017285024  0.00065344093   0.0017285024  0.00065344093
            975   0.0028605532   0.0021933789   0.0028605532   0.0021933789   0.0028605532   0.0021933789
            980   0.0018554595  0.00066013304   0.0018554595  0.00066013304   0.0018554595  0.00066013304
            985     0.00168531  0.00063922331     0.00168531  0.00063922331     0.00168531  0.00063922331
            990  0.00069724643   0.0006429105  0.00069724643   0.0006429105  0.00069724643   0.0006429105
            995   0.0020618125  0.00090408554   0.0020618125  0.00090408554   0.0020618125  0.00090408554
           1000   0.0020618125  0.00090408554   0.0020618125  0.00090408554   0.0020618125  0.00090408554
