#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.8      2778.4256      6.5344661      2778.4256      6.5344661      2778.4256      6.5344661
            2.9      2571.4331      6.3493888      2571.4331      6.3493888      2571.4331      6.3493888
              3      2336.1454       6.104299      2336.1454       6.104299      2336.1454       6.104299
            3.1       2106.319      5.8430782       2106.319      5.8430782       2106.319      5.8430782
            3.2      1876.1002      5.6158596      1876.1002      5.6158596      1876.1002      5.6158596
            3.3      1632.5429      5.2804973      1632.5429      5.2804973      1632.5429      5.2804973
            3.4      1411.7124      4.9429902      1411.7124      4.9429902      1411.7124      4.9429902
            3.5      1193.1094      4.6018116      1193.1094      4.6018116      1193.1094      4.6018116
            3.6      980.43083      4.2780445      980.43083      4.2780445      980.43083      4.2780445
            3.7      781.48883      3.8775099      781.48883      3.8775099      781.48883      3.8775099
            3.8      603.44624      3.4815275      603.44624      3.4815275      603.44624      3.4815275
            3.9      446.01307      3.0245177      446.01307      3.0245177      446.01307      3.0245177
              4      316.80859      2.5820738      316.80859      2.5820738      316.80859      2.5820738
            4.1      211.88747      2.1725807      211.88747      2.1725807      211.88747      2.1725807
            4.2      132.49725      1.7520274      132.49725      1.7520274      132.49725      1.7520274
            4.3      77.976971      1.3741815      77.976971      1.3741815      77.976971      1.3741815
            4.4      39.015541       1.012314      39.015541       1.012314      39.015541       1.012314
            4.5      19.867956     0.72179202      19.867956     0.72179202      19.867956     0.72179202
            4.6      7.3360884       0.467157      7.3360884       0.467157      7.3360884       0.467157
            4.7      2.7488462     0.30255549      2.7488462     0.30255549      2.7488462     0.30255549
            4.8     0.80150638     0.17028239     0.80150638     0.17028239     0.80150638     0.17028239
            4.9       0.577356     0.13404141       0.577356     0.13404141       0.577356     0.13404141
              5       0.577356     0.13404141       0.577356     0.13404141       0.577356     0.13404141
