#   pt_bb-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
            550     0.04552257    0.017247558    0.036362792    0.013770505    0.058298883    0.022787258
            555    0.045672627    0.015123094        0.03824    0.012094578    0.053091732    0.020021831
            560    0.066373854    0.034272787     0.05677218    0.031095959     0.07829419    0.037188828
            565    0.026347934    0.012417762    0.021699218   0.0093195452     0.03144391    0.017475264
            570    0.026506369    0.013932798    0.022030056    0.010462139    0.031337877    0.019672303
            575    0.035327376    0.015264855    0.028168827    0.011349652    0.044558101    0.021742667
            580    0.042565698    0.021198228    0.039817542    0.017390456    0.042680112    0.020430863
            585    0.053139777    0.015341344    0.039522012    0.011472048    0.073273631    0.021270253
            590    0.023856089    0.015147069    0.019724246    0.010926352    0.028660336    0.022013432
            595    0.035165252    0.015217791    0.028172849    0.010606621    0.043671842    0.023423587
            600     0.03092771    0.013234606    0.023644022   0.0094920345    0.040980112    0.019283278
            605    0.034740112    0.014991378    0.026768603    0.011009566    0.046304246    0.022060821
            610    0.013165028    0.011609771   0.0061401117    0.021350313     0.01485695   0.0085214438
            615      0.0224219    0.010036085    0.016928044   0.0077735662    0.030137542    0.014284596
            620     0.03565285    0.012608579    0.024327933   0.0086038278    0.054200112    0.019191937
            625    0.017553073   0.0087760978    0.015185475    0.007952566    0.019148528    0.011045395
            630    0.043871397     0.01884574    0.032860447    0.013847528    0.060280336    0.027012851
            635    0.013163017    0.009812875     0.01044257   0.0072193247    0.016739106    0.013874749
            640     0.02997352    0.014850732     0.02378285    0.011150786    0.038688938    0.021278277
            645    0.056225699    0.024360614    0.042654637      0.0172537    0.075298436    0.036020274
            650    0.013427933   0.0099305679    0.010708268    0.007147665    0.016925698    0.014517991
            655    0.017555643     0.01074953    0.012845363    0.007426831    0.024478436    0.016186064
            660   0.0088241339   0.0087999669   0.0066430168   0.0059522794    0.011910056    0.013606734
            665    0.039507376    0.013168471    0.028601118   0.0096025558    0.056264022    0.018935622
            670    0.013165028   0.0076004526    0.010483687   0.0060608902    0.016626704   0.0096312912
            675    0.029286313    0.011619497    0.012120671    0.030212008    0.035169385    0.016336117
            680   0.0087786592   0.0087771592   0.0077745253   0.0068353446   0.0093205585   0.0094250933
            685    0.018044581    0.010953909    0.014647039   0.0080584824    0.021998212    0.015652299
            690   0.0058862572   0.0083634693    0.004140894   0.0054476078   0.0087146369    0.013282915
            695    0.022824135    0.011956424    0.017524693   0.0083343165    0.030241787    0.018115985
            700   0.0087902794   0.0062153629    0.006084134   0.0043032061    0.013163911   0.0093111197
            705    0.023015308    0.010328278    0.021068681    0.010864332    0.024038436    0.010879461
            710              0              0              0              0              0              0
            715    0.017705587   0.0088526708    0.013587039   0.0068007952     0.02340514    0.011724218
            720    0.014383687   0.0083634288    0.011053967   0.0065393975    0.019346927    0.011221626
            725              0              0              0              0              0              0
            730    0.004391173   0.0043909535   0.0030958659   0.0030957111    0.006418324   0.0064180034
            735              0   0.0062056382  -0.0017469274   0.0093845712  0.00071743011   0.0042964182
            740   0.0090697207   0.0089199213   0.0052519777    0.011149833    0.010057318   0.0080119592
            745    0.021958213   0.0098195319     0.01573609   0.0070667586    0.031602905    0.014214862
            750   0.0043883804   0.0076002589   0.0036765364   0.0055150075   0.0050892736    0.010937986
            755   0.0087765366   0.0062056382    0.005817877   0.0041137923    0.013712961   0.0096963745
            760              0              0              0              0              0              0
            765   0.0043945253   0.0043943055   0.0033041341   0.0033039689    0.005943352   0.0059430547
            770              0              0              0              0              0              0
            775     0.03019162    0.026898166    0.023196983    0.020441517    0.040528828    0.036767573
            780  1.1061341e-05   0.0062050899  -0.0015775419   0.0096039811  0.00072067028   0.0041904157
            785    0.013164805   0.0076003236   0.0092153072   0.0053691623    0.019614302    0.011456079
            790              0              0              0              0              0              0
            795              0              0              0              0              0              0
            800   0.0043882683   0.0043880489   0.0037577654   0.0037575775   0.0048887153   0.0048884708
            805              0              0              0              0              0              0
            810              0              0              0              0              0              0
            815    0.021996984   0.0098369405    0.019318324   0.0090941341    0.023488044    0.012445744
            820              0              0              0              0              0              0
            825    0.033891062    0.022074866    0.024516424    0.014651467     0.04847553    0.035815415
            830  -0.0043793296   0.0043791106  -0.0081186598   0.0081182536  -0.0023248044   0.0023246882
            835  -0.0043882683   0.0043880489  -0.0072688268   0.0072684631  -0.0027306144   0.0027304779
            840   0.0045045812    0.004504356   0.0034787709    0.003478597    0.005892067   0.0058917726
            845   0.0043882683   0.0043880489    0.003635866   0.0036356842   0.0051749723   0.0051747135
            850    0.010235754    0.010235242   0.0091468156   0.0091463581    0.011661453     0.01166087
            855   0.0087765366   0.0062056382   0.0064806705   0.0048690976   0.0090032401   0.0063812283
            860              0              0              0              0              0              0
            865              0              0              0              0              0              0
            870              0              0              0              0              0              0
            875              0              0              0              0              0              0
            880   0.0044150841   0.0076109296  -0.0013559768    0.009345934   0.0064811172    0.006810416
            885    0.010010391    0.010009891   0.0065528492   0.0065525212    0.015773184    0.015772396
            890   0.0043882683   0.0043880489   0.0030919554   0.0030918007   0.0063989944   0.0063986743
            895              0              0              0              0              0              0
            900   0.0043882683   0.0043880489   0.0036324021   0.0036322204   0.0051873741   0.0051871147
            905   0.0043882683   0.0043880489    0.002693296   0.0026931614   0.0075113961   0.0075110207
            910    0.013183799   0.0076113052   0.0092862566   0.0053796821    0.019370726    0.011239921
            915   0.0043882683   0.0043880489   0.0028865921   0.0028864478   0.0069112849   0.0069109391
            920              0              0              0              0              0              0
            925   0.0074778771   0.0074775034   0.0050372067   0.0050369549    0.011452514    0.011451941
            930  -0.0087765366   0.0062056382   -0.015077877    0.010667218  -0.0052881565   0.0037409444
            935    0.013164805   0.0076003236     0.01024905   0.0059497536    0.016864805   0.0098540066
            940   0.0043913968   0.0043911772   0.0033550838    0.003354916   0.0045888268   0.0045885973
            945              0              0              0              0              0              0
            950    0.013824358    0.010406049   0.0089979887   0.0067078701    0.022100111    0.016824989
            955              0              0              0              0              0              0
            960  -0.0043882683   0.0043880489  -0.0075042458   0.0075038709  -0.0026316201   0.0026314885
            965   0.0043882683   0.0043880489   0.0036259217   0.0036257404    0.005139106   0.0051388491
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980   0.0043882683   0.0043880489   0.0029946369   0.0029944872   0.0066326257   0.0066322939
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
