qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)
0.07           2              0.5                 NLO.QT.32                                                            19787.92373 +-         5.06123

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.08           0.5            2                   NLO.QCD.QT                                                           28686.78370 +-         9.97206
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           0.5            2                   ..a00                                                                         0. +-              0.
0.08           0.5            2                   NLO.QT.32                                                            28686.78370 +-         9.97206

0.08           1              1                   NLO.QCD.QT                                                           23951.22548 +-         6.93971
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           1              1                   ..a00                                                                         0. +-              0.
0.08           1              1                   NLO.QT.32                                                            23951.22548 +-         6.93971

0.08           2              0.5                 NLO.QCD.QT                                                           19790.16620 +-         4.97010
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           2              0.5                 ..a00                                                                         0. +-              0.
0.08           2              0.5                 NLO.QT.32                                                            19790.16620 +-         4.97010

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.09           0.5            2                   NLO.QCD.QT                                                           28693.57518 +-         9.79266
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           0.5            2                   ..a00                                                                         0. +-              0.
0.09           0.5            2                   NLO.QT.32                                                            28693.57518 +-         9.79266

0.09           1              1                   NLO.QCD.QT                                                           23955.79614 +-         6.82185
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           1              1                   ..a00                                                                         0. +-              0.
0.09           1              1                   NLO.QT.32                                                            23955.79614 +-         6.82185

0.09           2              0.5                 NLO.QCD.QT                                                           19793.29133 +-         4.89126
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           2              0.5                 ..a00                                                                         0. +-              0.
0.09           2              0.5                 NLO.QT.32                                                            19793.29133 +-         4.89126

=====================================================================================================================================================

