qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.05           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.05           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.05           2              0.5                 dNNLO.QCD                                                            21332.72166 +-        17.70341
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              0.5                 NNLO.QT-CS.42            woVT2                                        5432.15929 +-        10.41028
0.05           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.05           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.05           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.05           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.06           0.5            2                   dNNLO.QCD                                                            25444.36528 +-        40.19256
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            2                   NNLO.QT-CS.42            woVT2                                        7320.54762 +-        21.63710
0.06           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.06           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.06           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.06           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.06           1              1                   dNNLO.QCD                                                            23619.41202 +-        25.70798
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              1                   NNLO.QT-CS.42            woVT2                                        6296.02809 +-        14.19619
0.06           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.06           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.06           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.06           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.06           2              0.5                 dNNLO.QCD                                                            21325.73458 +-        17.40038
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              0.5                 NNLO.QT-CS.42            woVT2                                        5425.17221 +-         9.88618
0.06           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.06           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.06           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.06           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.07           0.5            2                   dNNLO.QCD                                                            25449.95369 +-        40.10334
-----------------------------------------------------------------------------------------------------------------------------------------------------
