#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
            1.6      3525.0921       27.21747      3525.0921       27.21747      3525.0921       27.21747
            1.7      2944.2309      24.151279      2944.2309      24.151279      2944.2309      24.151279
            1.8      2505.6312      22.886945      2505.6312      22.886945      2505.6312      22.886945
            1.9      2122.7332      21.327984      2122.7332      21.327984      2122.7332      21.327984
              2      1809.9667      20.759547      1809.9667      20.759547      1809.9667      20.759547
            2.1      1524.0861      17.171531      1524.0861      17.171531      1524.0861      17.171531
            2.2      1307.4512      14.999975      1307.4512      14.999975      1307.4512      14.999975
            2.3      1111.1878      16.333059      1111.1878      16.333059      1111.1878      16.333059
            2.4      953.62638      14.912201      953.62638      14.912201      953.62638      14.912201
            2.5      835.73893      13.556711      835.73893      13.556711      835.73893      13.556711
            2.6      731.20553      11.357159      731.20553      11.357159      731.20553      11.357159
            2.7      626.30748      9.8314948      626.30748      9.8314948      626.30748      9.8314948
            2.8      555.66557      10.021462      555.66557      10.021462      555.66557      10.021462
            2.9      468.31154      8.3444025      468.31154      8.3444025      468.31154      8.3444025
              3      430.91122      11.138143      430.91122      11.138143      430.91122      11.138143
            3.1      351.32835      6.7134477      351.32835      6.7134477      351.32835      6.7134477
            3.2      305.15641      8.0835283      305.15641      8.0835283      305.15641      8.0835283
            3.3      282.03293      10.017744      282.03293      10.017744      282.03293      10.017744
            3.4      238.30009      5.2860623      238.30009      5.2860623      238.30009      5.2860623
            3.5      211.05864       5.238174      211.05864       5.238174      211.05864       5.238174
            3.6      183.14509      4.2937823      183.14509      4.2937823      183.14509      4.2937823
            3.7      165.25653      5.3392525      165.25653      5.3392525      165.25653      5.3392525
            3.8        140.024      3.8368097        140.024      3.8368097        140.024      3.8368097
            3.9      119.15325      3.4324189      119.15325      3.4324189      119.15325      3.4324189
              4      104.04768       3.686006      104.04768       3.686006      104.04768       3.686006
            4.1      92.204612      3.6419591      92.204612      3.6419591      92.204612      3.6419591
            4.2      71.756927      2.9189666      71.756927      2.9189666      71.756927      2.9189666
            4.3      62.860104      4.1550663      62.860104      4.1550663      62.860104      4.1550663
            4.4      54.564473       2.189514      54.564473       2.189514      54.564473       2.189514
            4.5      44.702633      1.9748257      44.702633      1.9748257      44.702633      1.9748257
            4.6      42.756437      2.8607084      42.756437      2.8607084      42.756437      2.8607084
            4.7      36.396975      1.6841727      36.396975      1.6841727      36.396975      1.6841727
            4.8      30.429116      2.0831773      30.429116      2.0831773      30.429116      2.0831773
            4.9      27.202475      1.3794422      27.202475      1.3794422      27.202475      1.3794422
              5      27.202475      1.3794422      27.202475      1.3794422      27.202475      1.3794422
