#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
            221      67.706655     0.32973542      56.140239     0.27373683       83.37212     0.41022162
            222      67.493524     0.35542434      55.931148     0.29236118        83.1661     0.44479148
            223      66.740974     0.32751855      55.321506      0.2716179      82.213799     0.40627532
            224      65.011444     0.32161323      53.870077     0.26672877      80.114592     0.39914228
            225      64.664857     0.32130367      53.578866     0.26653207      79.694042     0.39892681
            226      65.078581     0.32562837      53.907249     0.26970241      80.228686     0.40493252
            227      63.330014      0.3206126      52.417802     0.26541679      78.145498     0.39926483
            228      62.707332     0.31663477      51.925691     0.26245978      77.335642     0.39340214
            229      61.920368     0.31428632      51.262162     0.26075841      76.385231     0.39115589
            230      61.464237     0.31356149       50.88888     0.25981892      75.814083     0.38929161
            231      60.566057     0.31392464      50.136291     0.25986224      74.721598     0.39082144
            232      60.112282     0.31029545       49.73585     0.25775059      74.205907      0.3881313
            233      58.671809      0.3059273      48.523087     0.25336032      72.464088     0.38075016
            234      58.350361     0.30587232      48.237323     0.25305924      72.101902     0.38052981
            235      57.819964     0.30344229      47.807962     0.25116089      71.430477     0.37726551
            236      57.180937     0.30152685      47.230238     0.24945228      70.727414     0.37552155
            237       56.35549     0.30136935      46.591268     0.24919455       69.63036       0.375606
            238      55.635143     0.29797591      46.009443     0.24683824      68.715529     0.37085986
            239      55.407965     0.29715267      45.785626     0.24585003      68.498239     0.36985177
            240      54.753463     0.29819971       45.22213     0.24626637      67.728296     0.37170948
            241      54.247392     0.29387027      44.763756     0.24280873      67.173725     0.36639094
            242      53.121433     0.29452747      43.834832     0.24303773      65.778982     0.36783192
            243      52.373225     0.31497561      43.233195     0.25780046      64.823445     0.39672513
            244      52.555746     0.29291947       43.34623     0.24151949      65.115614     0.36578485
            245      51.402614     0.28642689      42.425394     0.23662517       63.63415     0.35686305
            246      50.630425     0.28986982      41.738254     0.23866817      62.765579     0.36269887
            247       50.52254     0.28403563      41.671247     0.23452914      62.592778     0.35427822
            248      49.926101     0.28270021      41.178092     0.23339211      61.855496     0.35263612
            249      49.133326     0.28485388      40.490798     0.23461452      60.931779     0.35623084
            250      48.425417     0.27949237      39.931146     0.23063804      60.011655     0.34903608
            251       48.66377     0.27950356      40.098979     0.23065668      60.357638     0.35010381
            252      47.841295     0.27653599      39.430178     0.22818715      59.321166     0.34518468
            253      47.531317     0.29284554      39.142817     0.23989074      58.992183     0.36826436
            254       46.72826     0.27370925      38.484807     0.22573474      57.990269      0.3430268
            255      46.384394     0.27188554      38.171414     0.22408567      57.615813     0.33987903
            256      45.409821      0.2705433      37.349761     0.22267923      56.439147     0.33851339
            257      45.378582     0.27040864      37.336786     0.22298576      56.377816     0.33979202
            258          45.11     0.27570945      37.136956     0.22655516      56.006415     0.34610994
            259      44.754026     0.26820336      36.805576     0.22081567       55.63144     0.33545134
            260      43.721335     0.26382048      35.982185     0.21744733      54.301864     0.33013162
            261      43.650464     0.26342796      35.898432     0.21716389      54.259488     0.32991333
            262      42.742019     0.27114298       35.16095     0.22247793      53.111422     0.34054769
            263       42.91171     0.26139712      35.311001     0.21556224      53.303764     0.32670294
            264       42.30175     0.25957576      34.751589     0.21351354      52.646526     0.32477187
            265      41.987933     0.25897289      34.511263     0.21311004      52.224634      0.3239076
            266      41.727375     0.29301427      34.293601     0.23847393      51.905508     0.37045423
            267      40.631279     0.25414669      33.365246     0.20897074      50.591078     0.31874851
            268      40.661344     0.25566928      33.392867     0.21022377      50.622268     0.32083376
            269      40.576048     0.25655412      33.357191     0.21095039      50.455708     0.32128119
            270      39.648831     0.25156332       32.54618     0.20660962       49.38755     0.31555791
            271      39.683333     0.25344403      32.553018     0.20805316      49.467645     0.31783972
            272      39.193484      0.2775224      32.166197     0.22526993      48.830864     0.35246172
            273      38.772447     0.24825298      31.824328     0.20400383      48.299623     0.31149806
            274      38.266369     0.24899189      31.374289     0.20418777      47.728538      0.3130465
            275      38.177137     0.24714252      31.348424     0.20313433      47.534219     0.30976407
            276      37.499973     0.24461986      30.782085     0.20106403      46.708888     0.30674567
            277      37.048375     0.24298242      30.386124      0.1995509      46.189967     0.30463639
            278      37.067736     0.25220288      30.395072     0.20627775      46.225367     0.31753748
            279      36.624698     0.24309926      30.042821     0.19947549        45.6531     0.30508463
            280      36.085065     0.24027961      29.590593     0.19724038      44.996863     0.30160174
            281      36.015648     0.24094471      29.514924     0.19760494      44.942765     0.30244947
            282      35.540487     0.23803798      29.173976     0.19599918      44.264971     0.29918284
            283      34.995644     0.23663691      28.661987      0.1939635       43.69855     0.29738296
            284      34.702834      0.2351013      28.451936     0.19297954      43.280808     0.29499549
            285      35.097427     0.23689367      28.758044     0.19426054      43.802642     0.29769548
            286      34.128562     0.23283925      27.961147     0.19105865       42.59846     0.29232573
            287      34.359321     0.23656184      28.111416     0.19349177      42.953202     0.29783158
            288      33.804416     0.23455311      27.698754     0.19222843      42.187164     0.29499616
            289      33.274051     0.23093285      27.257555     0.18973126      41.536479      0.2910028
            290       33.34282      0.2305078      27.287835     0.18885971      41.667166     0.29000767
            291      32.530363     0.22825575       26.62785     0.18703254       40.64254      0.2868614
            292      32.257557     0.22641216      26.421282     0.18658006      40.272394     0.28670954
            293      32.117676     0.22744905      26.298879     0.18627405       40.11052     0.28609591
            294      31.882601     0.22582936        26.0941     0.18496686      39.838278     0.28391479
            295      31.243879     0.22308642      25.577569     0.18291246      39.028862     0.28037509
            296      31.620973     0.22460531      25.866123     0.18392167      39.534533     0.28233681
            297      30.860743      0.2253715      25.259706     0.18438385      38.556688     0.28377415
            298      30.318629     0.21965712      24.823437     0.18006999       37.86621     0.27593037
            299      30.508538     0.22466235      24.966743      0.1838889       38.12361      0.2828802
            300      30.086285     0.21978229      24.622522     0.18000057      37.593623     0.27653439
            301       29.72964     0.21755922      24.305895     0.17808959        37.1908     0.27355109
            302      29.483115     0.21685704      24.086189     0.17742058      36.913145     0.27300173
            303       29.23928     0.21764223      23.892008     0.17795225      36.598875     0.27400372
            304      29.668251     0.22021949      24.230959     0.17989199      37.155338     0.27754483
            305      29.068741     0.21565543      23.773487     0.17660474      36.348706     0.27140094
            306      28.370728     0.21349218      23.186912     0.17460855      35.502705     0.26890806
            307      28.479802     0.21442891      23.259817     0.17516626      35.667205     0.27035197
            308      28.010982     0.21155501       22.89362     0.17317517      35.050474     0.26709192
            309       27.77567     0.21057461      22.697041     0.17232467       34.76332     0.26505189
            310      27.699954     0.21179291      22.635253     0.17308001      34.667825     0.26687242
            311      27.502061      0.2125017      22.466197     0.17374604       34.43242     0.26753787
            312      27.023348     0.20739771      22.070575     0.16954732      33.841122      0.2612013
            313      27.267521     0.21232817      22.274357     0.17326017      34.138984     0.26789796
            314      26.797049     0.21884168      21.849397     0.17760301       33.61982     0.27776395
            315      26.614612      0.2063672      21.721154     0.16862411      33.355537     0.26032393
            316      26.172089     0.20417919      21.396411     0.16723065      32.737607     0.25743501
            317      26.063802     0.21593695       21.25859     0.17565457      32.686939     0.27312694
            318      25.606872     0.20293815      20.902187     0.16618127      32.085445     0.25774035
            319      26.023819     0.20384064      21.253734     0.16666056      32.588273     0.25685414
            320      25.324742     0.20224219      20.642336     0.16496411      31.782721     0.25515427
            321      25.287619     0.20138923      20.626585     0.16443594      31.710444      0.2539485
            322      24.913687     0.19889673      20.327583     0.16253514      31.231265     0.25047275
            323      25.298219     0.21885003      20.618103     0.17728159      31.753067      0.2782758
            324      24.842604     0.19943294      20.268001     0.16331749       31.14409     0.25221556
            325      24.171752     0.19655104      19.695372     0.16043225      30.341601     0.24799643
            326      24.380093     0.20208084      19.868652     0.16474899      30.596683     0.25565107
            327      23.972743     0.19532075      19.531785     0.15949254      30.086796      0.2463259
            328      23.811206     0.19491311      19.382115     0.15890412      29.905245     0.24618602
            329      23.618699     0.19464353      19.241754     0.15890352      29.634486      0.2454714
            330      23.632571     0.19420059      19.247231     0.15855734      29.654179     0.24493391
            331      23.273531     0.19324758      18.943339       0.157596      29.231391     0.24406328
            332      23.045287     0.19203882      18.754375      0.1566901      28.939462     0.24242291
            333      23.112025     0.19202874      18.808208     0.15660224      29.009415     0.24243268
            334       22.51412     0.18990818      18.324765     0.15484757      28.243639     0.24006554
            335      22.642301     0.19050959      18.450297     0.15772677      28.378659     0.24300116
            336      22.537344      0.1901409      18.313206     0.15476882      28.322555     0.24025547
            337      22.024879      0.1872867       17.90545      0.1526453      27.667185     0.23645529
            338      22.139395     0.19182751      17.978145     0.15577252      27.834255     0.24299329
            339      21.932074     0.18856493      17.811708     0.15330846      27.573018     0.23853832
            340      21.861612     0.18678917      17.754878     0.15197546      27.483283     0.23649968
            341      21.107695     0.18322165      17.128396     0.14900277       26.55659     0.23168654
            342      21.392947     0.18498794      17.382458     0.15058357      26.879494     0.23406154
            343      21.220566      0.1843642      17.225084     0.14986251      26.692585     0.23350618
            344      20.880438     0.18224868      16.943911     0.14827513      26.272785     0.23052176
            345      20.721595      0.1825427      16.832646     0.14852815      26.044086     0.23088203
            346      20.684263     0.18185617      16.777781      0.1477761       26.03855     0.23028286
            347      20.354503     0.18083337      16.495586     0.14681995      25.646804     0.22905488
            348      19.975188     0.18078831      16.204264     0.14696308      25.142165     0.23003932
            349      20.550407     0.18083362      16.656738     0.14697726      25.888607     0.22922906
            350      20.033699     0.18022548      16.231578     0.14628624       25.24834     0.22880459
            351      20.143578     0.17978976      16.304934     0.14585649      25.411449      0.2278887
            352      19.805577     0.17884533      16.036948     0.14509122      24.978889     0.22696645
            353      19.587416     0.17704388      15.851953     0.14362007      24.716642     0.22477282
            354      19.568935     0.17688878      15.827174     0.14333787      24.708011     0.22454641
            355      19.379777     0.17652559      15.665981     0.14291173      24.485296     0.22456609
            356      19.410026     0.17596368      15.703192     0.14269488      24.502592     0.22346033
            357      18.991484     0.17434678      15.345033     0.14113126      24.005697     0.22156482
            358      18.909974     0.17409458      15.298774     0.14118884        23.8684     0.22093722
            359      18.769602     0.17280001      15.181746     0.14011441      23.697871     0.21924297
            360      18.677965     0.17282927      15.095675      0.1402154      23.602942     0.22020443
            361      18.550217     0.17545259      14.981259     0.14177485      23.458313     0.22322067
            362      18.060826     0.17026117      14.594378     0.13775501      22.826686     0.21657747
            363      18.059681     0.16963627      14.575111     0.13718048      22.855158     0.21581577
            364      17.808601     0.16843716      14.398435     0.13689811      22.495449     0.21456286
            365       17.74139     0.17251063      14.306785      0.1391143      22.473271     0.22054992
            366      17.818677     0.17013829      14.387295     0.13762113      22.538828     0.21671398
            367      17.849753     0.16862411      14.401314     0.13629353      22.595796     0.21499417
            368      17.590265     0.16781967      14.178197     0.13555333      22.290985     0.21381557
            369      17.472469     0.16706257      14.108245     0.13515581      22.101439     0.21244591
            370      17.436155     0.16705838      14.055211     0.13495826      22.094373      0.2126904
            371      17.464808     0.16720375      14.088103     0.13528617      22.115298     0.21315458
            372      17.115694     0.16590851      13.792407     0.13394117      21.696456     0.21142391
            373      16.879112      0.1653914      13.589562     0.13329827      21.414546     0.21118184
            374      16.695848     0.16320102      13.447026     0.13173099      21.173395      0.2079347
            375      16.668953     0.16279735      13.442997      0.1316112      21.112057     0.20728091
            376      16.710634     0.16389688      13.464691     0.13227553      21.184143      0.2091181
            377      16.466945     0.16217093      13.255147     0.13083765      20.897229     0.20672715
            378      16.283205     0.16182467      13.122958     0.13063238      20.637867     0.20647913
            379      16.553575     0.16264623      13.317195     0.13121084      21.020302     0.20761707
            380       16.22615      0.1608618      13.038024     0.12954366      20.630525     0.20554528
            381      15.707421     0.15917315      12.636615     0.12827218       19.94492     0.20317735
            382      15.731097     0.15978951      12.658589     0.12866355      19.971076     0.20415044
            383      15.637873     0.15966085      12.560245     0.12839661      19.891171     0.20420362
            384      15.580439     0.15919938      12.531478     0.12822409      19.787654     0.20324025
            385      15.496636     0.15748276      12.470256     0.12690905      19.672292     0.20105395
