#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
            190      39.706071     0.25196907      32.661518     0.20758863      49.373927      0.3150464
            191      38.998163     0.25035558      32.129553     0.20737089      48.402739     0.31614154
            192      38.386319     0.25535696      31.585637     0.20964232      47.714073     0.32060671
            193      38.219263      0.2516506      31.472868     0.20719894       47.46172     0.31588592
            194      37.685594     0.26023616       30.97538     0.21275019      46.903341     0.32828542
            195      36.684863     0.24217099      30.166904     0.19938595      45.632519     0.30301236
            196      36.411093      0.2431926       29.93609     0.19993573      45.301507     0.30486445
            197      36.195475     0.25502222      29.755339     0.20865011      45.039109     0.32210105
            198      35.446237     0.23762388      29.116862     0.19544997      44.147474     0.29783003
            199      35.302418     0.23858589      28.995222     0.19610729       43.97396     0.29932348
            200      34.821575     0.23893979      28.606051     0.19623879      43.364521      0.2999376
            201       34.84254      0.2361009      28.617043     0.19412479      43.401322     0.29593459
            202      34.221463     0.23416948       28.10067     0.19248942       42.63851     0.29362522
            203      33.805232     0.26704149      27.742606     0.21743907      42.147584     0.33775491
            204       33.29987     0.23163627      27.330146     0.19039767      41.513952     0.29077915
            205      33.329724     0.23222695       27.35066     0.19072379      41.558425     0.29175279
            206      32.871042     0.27789921      26.973613     0.22361372      40.986739     0.35715366
            207      32.240596     0.23341954      26.439488     0.19108404      40.230085     0.29433669
            208      31.849856     0.22722436      26.110761     0.18642139      39.756971     0.28569968
            209      31.465076     0.22505658      25.796776     0.18467393      39.273899     0.28293558
            210      31.624246     0.22493133       25.89819     0.18447811      39.524083     0.28281956
            211      31.068547     0.22331616      25.446861      0.1830661      38.822174     0.28094786
            212      30.680134     0.22330306      25.145727       0.183192       38.30581     0.28075048
            213      30.328939     0.22176155      24.827048     0.18180704      37.921788     0.27996073
            214      29.960624     0.21986894      24.502846     0.17993558      37.501491     0.27703974
            215      29.768246     0.21924373       24.32853      0.1793493      37.290468     0.27629129
            216      29.600417     0.22282556      24.202983     0.18202414      37.058758     0.28136201
            217      28.900947      0.2174893      23.625014     0.17779273      36.193793     0.27453168
            218      28.818861     0.21903939      23.545843     0.17879313      36.111754     0.27671165
            219      28.145008     0.21167797      23.030745     0.17377101      35.204005     0.26678843
            220      27.923489      0.2123912      22.824942     0.17545999      34.970202     0.27283118
            221      27.730648     0.21088751      22.644443     0.17235205      34.768586     0.26620229
            222      27.915107     0.25175291      22.784508     0.20311027      35.017538      0.3214767
            223      27.277897       0.211254      22.273309     0.17255704      34.202426     0.26656987
            224      26.864946     0.20695125      21.933675     0.16915157      33.688773     0.26105064
            225      26.951741     0.20827641      22.024789     0.17044615      33.761158     0.26270897
            226      26.514021      0.2116266      21.613698     0.17231133       33.30687     0.26800703
            227      25.903139     0.20689389      21.108972     0.16853933      32.551133     0.26196929
            228      26.109055     0.20464525       21.29864     0.16729271      32.770916     0.25846113
            229      25.882619     0.20327851      21.110354     0.16619544      32.492291     0.25675464
            230       25.78358     0.20408495       21.03829     0.16667511      32.351975     0.25761537
            231       25.18427     0.20539251      20.530559     0.16728655      31.632725     0.26033356
            232      25.339702     0.20260182      20.655958     0.16528333      31.830465     0.25626324
            233       24.35462     0.19753911      19.857551     0.16121865      30.584247      0.2496458
            234      24.525044     0.19951789      19.973521     0.16256261        30.8386     0.25251329
            235      24.384531      0.1971704      19.877679     0.16102942       30.62899     0.24889554
            236       23.91349     0.19507129      19.463693     0.15912939      30.089793     0.24684784
            237      23.689713     0.19397914      19.287877     0.15821007      29.796624     0.24527519
