           bin (m_Wbb)   qTcut           order/list                                                                 dsigma +-            error

       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.01            dNNLO.QCD                                                              1723.75606 +-         10.88542
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.01            NNLO.QT-CS.42                 woVT2                                         -105.95268 +-          9.62397
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.05            dNNLO.QCD                                                              1731.16620 +-          7.37844
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.05            NNLO.QT-CS.42                 woVT2                                          -98.54254 +-          5.34507
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.1             dNNLO.QCD                                                              1722.75754 +-          6.76986
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.1             NNLO.QT-CS.42                 woVT2                                         -106.95120 +-          4.46759
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.15            dNNLO.QCD                                                              1718.10776 +-          6.49743
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.15            NNLO.QT-CS.42                 woVT2                                         -111.60097 +-          4.04288
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.2             dNNLO.QCD                                                              1716.32575 +-          6.40380
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.2             NNLO.QT-CS.42                 woVT2                                         -113.38299 +-          3.89063
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.25            dNNLO.QCD                                                              1718.17515 +-          6.25819
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.25            NNLO.QT-CS.42                 woVT2                                         -111.53359 +-          3.64599
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

       120         130   0.5             dNNLO.QCD                                                              1720.78088 +-          6.00455
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   0.5             NNLO.QT-CS.42                 woVT2                                         -108.92786 +-          3.19108
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -226.69013 +-          0.99876

===================================================================================================================================================

       130         140   extrapolation   dNNLO.QCD                                                                   1402.13910 +-          8.02589
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   extrapolation   NNLO.QT-CS.42                 woVT2                                          -58.29223 +-          6.52446
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.01            dNNLO.QCD                                                              1400.06581 +-          9.45358
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.01            NNLO.QT-CS.42                 woVT2                                          -60.36552 +-          8.21728
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.05            dNNLO.QCD                                                              1401.93310 +-          7.05571
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.05            NNLO.QT-CS.42                 woVT2                                          -58.49823 +-          5.28551
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.1             dNNLO.QCD                                                              1399.69366 +-          6.06377
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.1             NNLO.QT-CS.42                 woVT2                                          -60.73767 +-          3.86302
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.15            dNNLO.QCD                                                              1396.08006 +-          5.83864
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.15            NNLO.QT-CS.42                 woVT2                                          -64.35126 +-          3.49905
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.2             dNNLO.QCD                                                              1397.29424 +-          5.73273
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.2             NNLO.QT-CS.42                 woVT2                                          -63.13709 +-          3.31931
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.25            dNNLO.QCD                                                              1397.59994 +-          5.64579
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   0.25            NNLO.QT-CS.42                 woVT2                                          -62.83139 +-          3.16679
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

       130         140   0.5             dNNLO.QCD                                                              1400.77830 +-          5.43975
---------------------------------------------------------------------------------------------------------------------------------------------------
