# pt_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            780    0.010442323   0.0032845683    0.008472185   0.0025055788    0.012622618   0.0045758197
            785    0.019146201   0.0042339839     0.01444563   0.0031060514    0.025647244    0.006043241
            790   0.0070910826    0.002822454   0.0054004724   0.0019230173   0.0092975393   0.0045173729
            795    0.015024725   0.0070680951    0.010977402   0.0048539758    0.021150551    0.010668353
            800   0.0094082676   0.0027213296   0.0078693504   0.0023281098    0.010778407   0.0033831846
            805     0.01096624   0.0029391107   0.0090626969   0.0024673747    0.012956892   0.0036281917
            810   0.0050166141   0.0027958728   0.0043246457    0.001900329    0.005361496   0.0044728746
            815   0.0069010826   0.0023002647    0.005082815   0.0017041024   0.0096005512   0.0032266586
            820    0.005441496   0.0025651582   0.0044265552   0.0018850447   0.0065054922   0.0037903117
            825   0.0045940551   0.0021655593   0.0035905315   0.0015513941   0.0058784842   0.0031782097
            830   0.0092567716   0.0030802053   0.0071627756   0.0021662214    0.012052658   0.0046690812
            835    0.018190256   0.0038036082    0.013503445   0.0028546187    0.025216811   0.0053098783
            840   0.0046321063   0.0021830812   0.0036596063   0.0016728774   0.0058386418   0.0030837293
            845   0.0045961811   0.0021663115   0.0031876575   0.0014367119   0.0068602757   0.0034265583
            850    0.009765315   0.0043061009   0.0069674999   0.0029454235    0.014102579   0.0065604899
            855   0.0091888385   0.0032484875   0.0076898031   0.0021646819    0.010661673   0.0060334139
            860   0.0092577362   0.0026730801   0.0067268308   0.0019480162    0.013055748   0.0037906795
            865   0.0063698031   0.0022593764   0.0043484449   0.0015576439   0.0097425198   0.0034569452
            870   0.0071099016   0.0029663999   0.0061239902   0.0020880481   0.0077528345   0.0047621662
            875   0.0045940551   0.0018754214   0.0030580512   0.0012536469   0.0072328739   0.0029696417
            880   0.0053713976   0.0023008363   0.0041963976   0.0017308782   0.0069259646   0.0032901256
            885   0.0032783071    0.001973286   0.0023698622   0.0013215155   0.0046609055   0.0030845065
            890   0.0053697637   0.0023002715    0.004896378   0.0016564555   0.0056264764   0.0026045052
            895   0.0053597244   0.0020256841   0.0040921259   0.0015836265   0.0070719882   0.0028051104
            900   0.0030627559   0.0015313014   0.0027627362   0.0014252924    0.003178937   0.0016802713
            905   0.0022970472   0.0013261345   0.0020679331   0.0012489126   0.0024050984   0.0013904863
            910  0.00076576767   0.0022969258 -0.00059374248   0.0034597211   0.0012010276   0.0018562559
            915   0.0076702952   0.0024254725   0.0054910237   0.0017429725    0.010994173   0.0034954065
            920   0.0053597243   0.0020256841   0.0040677362   0.0015509398   0.0072278543   0.0027858078
            925   0.0022970866   0.0017120382   0.0020407481   0.0012525861   0.0023762008   0.0022596984
            930   0.0034131692   0.0017332097   0.0026030905   0.0013247969   0.0045338977   0.0023093437
            935   0.0061254527   0.0021655663   0.0045720275   0.0016278585   0.0082992716   0.0029782504
            940   0.0022974803   0.0013263846   0.0015778346  0.00091215918    0.003465374   0.0020040321
            945   0.0040724409   0.0021292577   0.0031799015   0.0016279532   0.0053435827   0.0029467113
