#pt_bbZ-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            635    0.014547874   0.0041231076    0.011936949   0.0030182033    0.017241673   0.0059719714
            640    0.011708543   0.0033951949   0.0091191732   0.0024724628    0.015110098   0.0049831193
            645    0.010632382   0.0034445926   0.0087484448   0.0025663569    0.012648563   0.0049652064
            650    0.020699527   0.0041280421    0.015722126   0.0030741485     0.02777996   0.0058426302
            655    0.013783898   0.0032487338    0.010424035   0.0024690774    0.018611732   0.0044256429
            660    0.022260886   0.0042733051    0.016460413   0.0031167885    0.030902579   0.0062760305
            665    0.010719842   0.0032483993   0.0085286417   0.0023962626    0.013383583   0.0047532635
            670    0.014549626   0.0038285451    0.011700177   0.0028208009    0.017897933    0.005570373
            675   0.0087033464   0.0032363777   0.0069692323   0.0022756086     0.01082939   0.0050517902
            680    0.018901555   0.0059385298    0.014095335   0.0040717652     0.02577311   0.0091436723
            685    0.012792697   0.0034456696   0.0096692717   0.0023866279    0.017401575   0.0053634525
            690   0.0098762992   0.0028881556   0.0074077558   0.0021821442    0.013492677   0.0039620709
            695    0.013016535   0.0031568157   0.0099670276   0.0024401651    0.017147598   0.0042471708
            700    0.011746358   0.0032300958    0.010269941    0.002726065    0.012305697   0.0039683339
            705   0.0053931299   0.0027699936   0.0044296063   0.0019608161   0.0064032872   0.0041924938
            710   0.0046944881   0.0019186101    0.003915315   0.0016210185    0.005433622   0.0023130697
            715    0.015467579   0.0057528153     0.01103565   0.0037041645    0.022559134   0.0095647398
            720   0.0038289173   0.0022970702   0.0034336024   0.0042698953   0.0038734449   0.0020188383
            725    0.010823307   0.0028936197   0.0085238386   0.0023156967     0.01359939   0.0037996002
            730   0.0057510631   0.0032777892   0.0041004921   0.0021963015   0.0083415748   0.0051008872
            735    0.005358248   0.0022964276   0.0041599607   0.0017112788   0.0069820867   0.0032349019
            740   0.0047174015   0.0022121588   0.0040265551   0.0016981297   0.0052916732   0.0028722967
            745   0.0041501772   0.0021678409   0.0036862578   0.0015036502   0.0043405905   0.0034611899
            750   0.0045939961   0.0024211316   0.0037198622   0.0017013456    0.005603189   0.0036845303
            755   0.0085227165   0.0032245394   0.0060288976   0.0022291244    0.012455295   0.0048609833
            760   0.0038284252   0.0017120382   0.0026796062   0.0020404279   0.0039520473   0.0018602216
            765   0.0091881692   0.0026522634   0.0067014172   0.0019551652    0.012893346   0.0037944648
            770   0.0038284055   0.0017120294   0.0029190945   0.0013068029    0.005034252   0.0022571752
            775   0.0023003346   0.0013280351   0.0016637992  0.00096430582   0.0032616339   0.0018952909
            780   0.0047267322   0.0019333764   0.0037958465   0.0015726623   0.0057524213   0.0024629895
            785   0.0053599015   0.0025393879   0.0044254527   0.0018898113   0.0061900195   0.0036104702
            790    0.001531496   0.0018753732   0.0011445078   0.0032462291   0.0015528937   0.0021230243
            795   0.0030626968   0.0018754294   0.0024510826   0.0013938955   0.0038247046   0.0026492724
            800   0.0038432284   0.0017187094   0.0033897048   0.0015907192   0.0039655374   0.0019729811
            805   0.0068932677   0.0022976419   0.0056399213   0.0019190698    0.008256439   0.0029030775
            810   0.0015313583   0.0015312718  0.00066775589   0.0024156509   0.0016967323   0.0011300544
            815   0.0015313779   0.0010827936   0.0011442126  0.00080953132   0.0020950394   0.0014827327
            820  0.00076572832   0.0013261232  6.1653553e-05   0.0019686666  0.00095311023   0.0010026547
            825   0.0045940551   0.0018754214   0.0034246457   0.0014011815   0.0062771063   0.0025727115
            830   0.0038284055   0.0017120294   0.0028416535   0.0012795428   0.0052292914   0.0023689514
            835   0.0072926378   0.0024442403   0.0052637205   0.0017916567     0.01048561   0.0035365963
            840   0.0015313779   0.0010827936   0.0014005906   0.0010221003   0.0015926771   0.0011274467
