#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            680    0.012485905   0.0033073399   0.0094780512   0.0024511195     0.01667561   0.0047192107
            685     0.01315876    0.004008601    0.010259134   0.0027158572    0.017114095   0.0063499193
            690    0.020788307    0.004098763    0.016341319   0.0032542001     0.02658687    0.005327013
            695    0.018491004   0.0041436779    0.013719213   0.0030718879    0.025714075   0.0058387036
            700    0.013635059   0.0037852194    0.010341417   0.0027983172    0.018343603   0.0053473864
            705    0.016503937   0.0038705452    0.013031299   0.0030981498    0.020745945   0.0052378881
            710    0.011703228   0.0045815981   0.0099402362   0.0035420855    0.012841319   0.0064586626
            715    0.012597953    0.004585621   0.0099857853   0.0032247124    0.015691063   0.0071867626
            720    0.012933878   0.0032630998    0.010036673   0.0025476616    0.016872736   0.0043004012
            725    0.015489567   0.0040337691    0.012102756   0.0030507577    0.020076476   0.0055735635
            730    0.015209331   0.0035236468    0.011859469   0.0027721527    0.019495002    0.004666172
            735    0.014502992   0.0036869635    0.011409173   0.0029180416    0.018684921   0.0048369549
            740   0.0062077361   0.0028877672   0.0054337206   0.0020867555   0.0065560826   0.0043383362
            745    0.010459075   0.0031302795   0.0081074626   0.0021968594    0.013601417   0.0049523497
            750    0.010553248   0.0034486836   0.0090585235   0.0026799915     0.01176811      0.0044576
            755    0.013951279   0.0032893776    0.010527283   0.0024938253    0.018736319   0.0044562137
            760    0.014309921   0.0033947384     0.01152187   0.0027776967     0.01757122   0.0042727559
            765    0.011337086   0.0040966497   0.0095060041   0.0032243925    0.012926319   0.0058754067
            770     0.01330685   0.0036198789     0.01051187   0.0029855265    0.017291988   0.0046143255
            775   0.0081883858    0.002830898   0.0064509448   0.0021520107    0.010415965   0.0038541293
            780    0.015502618   0.0042872639    0.011602973    0.003150944    0.021404232   0.0061649661
            785   0.0057857874    0.002471787   0.0043359055    0.001782411   0.0079231103   0.0036351641
            790   0.0085039959   0.0031281808   0.0064156102   0.0022706161    0.011510276   0.0045788628
            795   0.0073966535   0.0024843923   0.0058224016   0.0019780488   0.0094870472   0.0032031353
            800   0.0086777362   0.0026230245   0.0062615748   0.0019111592    0.012418091   0.0037761947
            805   0.0090011417   0.0029422746   0.0075874016   0.0023452301    0.010107667    0.004058624
            810   0.0073741339   0.0030854693   0.0056625001   0.0023166656   0.0098148029   0.0043230428
            815   0.0039088189   0.0023307578      0.0030775   0.0016246705   0.0049461614   0.0035015377
            820   0.0053231495   0.0024782923   0.0044322441   0.0018820206    0.006335689    0.003548016
            825    0.006125433   0.0024211752   0.0047346653   0.0017834011   0.0079020276   0.0034304187
            830    0.011727067   0.0032189549   0.0085063188   0.0023593238    0.016716201   0.0045917764
            835   0.0079467716   0.0043076735   0.0065137539   0.0030269281   0.0093713208     0.00671172
            840   0.0029019488   0.0017466307   0.0023395472    0.001418335   0.0035914567   0.0021540526
            845   0.0086934251   0.0027975082   0.0065284449   0.0021055513    0.011775394   0.0038082984
            850   0.0044243307   0.0020377757   0.0032846456   0.0015121031   0.0061224804   0.0028297773
            855   0.0053143897   0.0028988545   0.0030080512    0.005228288   0.0057998228   0.0023049392
            860   0.0055306693   0.0026458864   0.0037769684   0.0021607168   0.0084478917   0.0034917315
            865   0.0048673622   0.0020007006    0.003285315   0.0013531424   0.0075305512   0.0031153652
            870   0.0047149802   0.0019273231   0.0035527756   0.0014570717   0.0063733465   0.0026090126
            875   0.0058882283   0.0028182539   0.0046426181   0.0021985447   0.0076919684   0.0037131931
            880   0.0053786023   0.0023032798   0.0042126181   0.0017076159   0.0069022442   0.0032908323
            885   0.0023028937   0.0013295183   0.0016304921  0.00094538426   0.0033575394   0.0019474655
            890   0.0022971259   0.0017120558   0.0021238386   0.0012860331   0.0023015552   0.0018907607
            895   0.0040772244   0.0021008905    0.002919311   0.0015368518   0.0059550198   0.0030202167
            900   0.0031060039   0.0018934719   0.0028080316   0.0014506351   0.0031140748   0.0020874705
            905   0.0046127558   0.0018831294   0.0035788582   0.0014689387   0.0058574606   0.0024355655
