             bin (y_W)   qTcut           order/list                                                                 dsigma +-            error

      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.1             dNNLO.QCD                                                              1.74189067 +-       0.09014600
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.1             NNLO.QT-CS.42                 woVT2                                         1.12446907 +-       0.07242531
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.15            dNNLO.QCD                                                              1.71673263 +-       0.08173252
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.15            NNLO.QT-CS.42                 woVT2                                         1.09931103 +-       0.06163870
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.2             dNNLO.QCD                                                              1.68087254 +-       0.07976319
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.2             NNLO.QT-CS.42                 woVT2                                         1.06345094 +-       0.05900246
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.25            dNNLO.QCD                                                              1.66970815 +-       0.07901828
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.25            NNLO.QT-CS.42                 woVT2                                         1.05228655 +-       0.05799149
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.5             dNNLO.QCD                                                              1.66021019 +-       0.07692111
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.5             NNLO.QT-CS.42                 woVT2                                         1.04278859 +-       0.05509974
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

===================================================================================================================================================

      -4.8        -4.7   extrapolation   dNNLO.QCD                                                                   3.91063326 +-       0.17957007
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   extrapolation   NNLO.QT-CS.42                 woVT2                                         2.33918893 +-       0.14915036
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.01            dNNLO.QCD                                                              3.85735553 +-       0.19996658
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.01            NNLO.QT-CS.42                 woVT2                                         2.28591120 +-       0.17316770
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.05            dNNLO.QCD                                                              3.90055723 +-       0.15903357
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.05            NNLO.QT-CS.42                 woVT2                                         2.32911290 +-       0.12366122
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.1             dNNLO.QCD                                                              3.87365426 +-       0.14843193
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.1             NNLO.QT-CS.42                 woVT2                                         2.30220993 +-       0.10969256
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.15            dNNLO.QCD                                                              3.84327846 +-       0.14446420
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.15            NNLO.QT-CS.42                 woVT2                                         2.27183413 +-       0.10426085
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.2             dNNLO.QCD                                                              3.76498537 +-       0.14239296
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.2             NNLO.QT-CS.42                 woVT2                                         2.19354105 +-       0.10137146
