# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            805  0.00074855322  0.00055780466  0.00054883306  0.00039393125   0.0010490366  0.00083996635
            810  0.00049975836  0.00035336491  0.00032109381  0.00022715279  0.00081259774  0.00057498643
            815  0.00049950396  0.00049948216  0.00039781239  0.00035549441  0.00061617805  0.00072857912
            820  0.00024975516  0.00043256699  0.00022778383  0.00064072351   0.0002540159  0.00040112353
            825 -0.00024975516  0.00024974267 -0.00043777421  0.00043775234 -0.00014594595  0.00014593865
            830  0.00024976154  0.00024974905  0.00019446741  0.00019445769  0.00025768521  0.00025767233
            835  0.00024975516  0.00024974267  0.00016316694  0.00016315878   0.0003993132  0.00039929323
            840              0  0.00049948534 -0.00012751033  0.00085025856  5.2254369e-05  0.00030754689
            845  0.00024975516  0.00055844158  0.00020754207  0.00091792327  0.00025262321  0.00049346561
            850 -0.00024975516  0.00024974267  -0.0006168076  0.00061677676 -8.2416534e-05  8.2412413e-05
            855  0.00024975516  0.00024974267  0.00016794913  0.00016794073  0.00038561526  0.00038559599
            860  0.00049951031  0.00035318947  0.00040024802  0.00028300465  0.00061636884  0.00043582081
            865  0.00024975516  0.00024974267  0.00017898887  0.00017897992  0.00035863275  0.00035861482
            870   0.0002497488  0.00024973631  0.00015854372  0.00015853579   0.0004113132  0.00041129262
            875  0.00050229571  0.00035516435  0.00038298251  0.00027114577  0.00067252146  0.00047607378
            880              0              0              0              0              0              0
            885              0              0              0              0              0              0
            890 -0.00049951031  0.00035318947  -0.0012411574  0.00089032037 -0.00014553005  0.00012030909
            895  0.00049950396  0.00035318497  0.00034941176  0.00024715002  0.00073855008   0.0005225408
            900  0.00024975516  0.00024974267  0.00016433704  0.00016432882  0.00039486804   0.0003948483
            905  0.00024975516  0.00024974267  0.00015329093  0.00015328327  0.00042747218  0.00042745081
            910  0.00049950396  0.00035318497  0.00031950397  0.00022593057  0.00081610808  0.00057709763
            915  0.00024975516  0.00024974267  0.00018130366  0.00018129459  0.00035275676  0.00035273911
            920              0              0              0              0              0              0
            925              0              0              0              0              0              0
            930 -0.00024975516  0.00024974267 -0.00044356757  0.00044354537 -0.00014576789   0.0001457606
            935  0.00074927185  0.00043257067  0.00058835613  0.00034155274  0.00094696979  0.00055417903
            940              0              0              0              0              0              0
            945  0.00024975516  0.00024974267  0.00018192051  0.00018191141  0.00035308744  0.00035306979
            950              0              0              0              0              0              0
            955  0.00037038474  0.00037036623  0.00029405406  0.00029403936  0.00047689027  0.00047686645
            960 -0.00024975516  0.00024974267 -0.00046879491  0.00046877148 -0.00013579015  0.00013578336
            965              0              0              0              0              0              0
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980              0              0              0              0              0              0
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
